#node	date	numeric date
NODE_0000000	2019-12-23	2019.976828
NODE_0000001	2020-01-01	2020.000980
NODE_0000002	2020-01-07	2020.018865
NODE_0000003	2020-01-12	2020.030686
hCoV-19/Canada/AB-71865/2020_B.27_2020-03-01	2020-03-01	2020.165301
NODE_0000004	2020-01-13	2020.033895
NODE_0000005	2020-02-28	2020.160413
NODE_0000006	2020-03-11	2020.192153
hCoV-19/Canada/Qc-LSPQ-L00237113/2020_B.11_2020-03-25	2020-03-25	2020.230874
hCoV-19/Canada/QC-CHUM-2008101404A/2020_B.55_2020-03-21	2020-03-21	2020.219945
NODE_0000007	2021-05-08	2021.348654
hCoV-19/Canada/AB-ABPHL-27721/2021_B_2021-08-05	2021-08-05	2021.593151
NODE_0000008	2021-05-09	2021.351863
hCoV-19/Canada/AB-ABPHL-27772/2021_B_2021-08-12	2021-08-12	2021.612329
NODE_0000009	2021-05-20	2021.382192
hCoV-19/Canada/BC-BCCDC-238209/2021_B_2021-10-27	2021-10-27	2021.820548
hCoV-19/Canada/BC-BCCDC-92438/2021_B_2021-05-20	2021-05-20	2021.382192
NODE_0000010	2020-01-13	2020.033895
hCoV-19/Canada/QC-LSPQ-L00218090/2020_B_2020-03-14	2020-03-14	2020.200820
NODE_0000011	2020-01-31	2020.083843
hCoV-19/Canada/Qc-LSPQ-L00210314/2020_B.4_2020-02-25	2020-02-25	2020.151639
NODE_0000012	2020-02-01	2020.087052
NODE_0000013	2020-02-03	2020.090261
hCoV-19/Canada/MB-NML-986/2020_B.4.4_2020-03-18	2020-03-18	2020.211749
hCoV-19/Canada/QC-JUS-V5220285/2020_B.4_2020-03-23	2020-03-23	2020.225410
NODE_0000014	2020-02-03	2020.090261
hCoV-19/Canada/MB-NML-1058/2020_B.4.8_2020-07-17	2020-07-17	2020.542350
NODE_0000015	2020-02-23	2020.145612
hCoV-19/Canada/ON-PHL-20-00013/2020_B.4_2020-03-04	2020-03-04	2020.173497
NODE_0000016	2020-02-24	2020.148821
hCoV-19/Canada/ON-PHL-20-80783/2020_B.4_2020-03-12	2020-03-12	2020.195355
hCoV-19/Canada/QC-JUS-V5230785/2020_B.4_2020-03-22	2020-03-22	2020.222678
NODE_0000017	2020-01-19	2020.051503
NODE_0000018	2020-03-04	2020.174428
hCoV-19/Canada/NB_257/2020_B.6_2020-04-03	2020-04-03	2020.255464
NODE_0000019	2020-03-04	2020.174428
NODE_0000020	2020-03-12	2020.194753
hCoV-19/Canada/ON-PHL-20-80444/2020_B.6_2020-04-06	2020-04-06	2020.263661
hCoV-19/Canada/ON-PHL-20-02107/2020_B.6_2020-07-30	2020-07-30	2020.577869
NODE_0000021	2020-03-04	2020.174428
hCoV-19/Canada/ON-PHL-20-80802/2020_B.6_2020-03-14	2020-03-14	2020.200820
NODE_0000022	2020-03-05	2020.176834
hCoV-19/Canada/QC-LSPQ-L00222823/2020_B.6_2020-03-16	2020-03-16	2020.206284
hCoV-19/Canada/ON-PHL-20-00293/2020_B.6_2020-05-11	2020-05-11	2020.359290
NODE_0000023	2020-02-02	2020.088724
hCoV-19/Canada/AB-52176/2020_B_2020-03-01	2020-03-01	2020.165301
NODE_0000024	2020-02-10	2020.110257
NODE_0000025	2020-02-11	2020.112271
NODE_0000026	2020-02-13	2020.120041
hCoV-19/Canada/BC-BCCDC-3363/2020_B.30_2020-08-24	2020-08-24	2020.646175
NODE_0000027	2020-02-29	2020.162092
hCoV-19/Canada/ON-PHL-20-90009-v2/2020_B.28_2020-03-01	2020-03-01	2020.165301
NODE_0000028	2020-03-01	2020.165301
