#node	date	numeric date
NODE_0000000	2019-12-17	2019.959384
NODE_0000001	2019-12-25	2019.983117
NODE_0000002	2020-01-02	2020.002910
NODE_0000003	2020-02-04	2020.093541
NODE_0000004	2020-02-29	2020.163896
NODE_0000005	2021-04-28	2021.320722
hCoV-19/Canada/AB-ABPHL-27748/2021_B_2021-08-09	2021-08-09	2021.604110
NODE_0000006	2021-05-20	2021.382192
hCoV-19/Canada/BC-BCCDC-238209/2021_B_2021-10-27	2021-10-27	2021.820548
hCoV-19/Canada/BC-BCCDC-92438/2021_B_2021-05-20	2021-05-20	2021.382192
NODE_0000007	2020-03-02	2020.167038
hCoV-19/Canada/QC-LSPQ-L00218090/2020_B_2020-03-14	2020-03-14	2020.200820
NODE_0000008	2020-03-12	2020.194715
hCoV-19/Canada/Qc-LSPQ-L00237113/2020_B.11_2020-03-25	2020-03-25	2020.230874
hCoV-19/Canada/QC-CHUM-2008101404A/2020_B.55_2020-03-21	2020-03-21	2020.219945
NODE_0000009	2020-02-27	2020.157010
NODE_0000010	2020-02-28	2020.160152
hCoV-19/Canada/SK-NML-70/2020_B.3.1_2020-03-18	2020-03-18	2020.211749
hCoV-19/Canada/ON-PHL-20-80191/2020_B.3_2020-03-24	2020-03-24	2020.228142
NODE_0000011	2020-03-06	2020.178432
NODE_0000012	2020-03-28	2020.238170
hCoV-19/Canada/ON-PHL-20-80562/2020_B.3_2020-04-09	2020-04-09	2020.271858
hCoV-19/Canada/ON-PHL-20-80723/2020_B.3_2020-04-17	2020-04-17	2020.293716
NODE_0000013	2020-03-06	2020.178432
hCoV-19/Canada/QC-LSPQ-L00220832/2020_B.3_2020-03-14	2020-03-14	2020.200820
hCoV-19/Canada/ON-PHL-20-90273/2020_B.3_2020-03-17	2020-03-17	2020.209016
NODE_0000014	2020-01-03	2020.006053
hCoV-19/Canada/AB-71865/2020_B.27_2020-03-01	2020-03-01	2020.165301
NODE_0000015	2020-01-10	2020.026534
NODE_0000016	2020-01-10	2020.026534
NODE_0000017	2020-03-11	2020.191532
hCoV-19/Canada/ON-PHL-20-00293/2020_B.6_2020-05-11	2020-05-11	2020.359290
NODE_0000018	2020-03-11	2020.193909
NODE_0000019	2020-03-15	2020.203358
hCoV-19/Canada/ON-PHL-20-80444/2020_B.6_2020-04-06	2020-04-06	2020.263661
hCoV-19/Canada/ON-PHL-20-02107/2020_B.6_2020-07-30	2020-07-30	2020.577869
NODE_0000020	2020-03-11	2020.193915
hCoV-19/Canada/ON-PHL-20-80181-v2/2020_B.6_2020-03-21	2020-03-21	2020.219945
NODE_0000021	2020-03-11	2020.193915
hCoV-19/Canada/NB_257/2020_B.6_2020-04-03	2020-04-03	2020.255464
hCoV-19/Canada/ON-PHL-20-80802/2020_B.6_2020-03-14	2020-03-14	2020.200820
NODE_0000022	2020-01-26	2020.068971
NODE_0000023	2020-01-26	2020.068971
hCoV-19/Canada/MB-NML-1058/2020_B.4.8_2020-07-17	2020-07-17	2020.542350
hCoV-19/Canada/QC-JUS-V5280337/2020_B.4_2020-03-26	2020-03-26	2020.233607
NODE_0000024	2020-01-27	2020.072114
NODE_0000025	2020-01-27	2020.072131
hCoV-19/Canada/NS-NML-41/2020_B.4_2020-03-16	2020-03-16	2020.206284
hCoV-19/Canada/Qc-LSPQ-L00210314/2020_B.4_2020-02-25	2020-02-25	2020.151639
NODE_0000026	2020-01-28	2020.075256
hCoV-19/Canada/MB-NML-842/2020_B.4.4_2020-03-18	2020-03-18	2020.211749
NODE_0000027	2020-02-24	2020.147568
hCoV-19/Canada/ON-PHL-20-00013/2020_B.4_2020-03-04	2020-03-04	2020.173497
hCoV-19/Canada/ON-PHL-20-80783/2020_B.4_2020-03-12	2020-03-12	2020.195355
NODE_0000028	2020-01-30	2020.080975
hCoV-19/Canada/AB-52176/2020_B_2020-03-01	2020-03-01	2020.165301
NODE_0000029	2020-02-09	2020.107701
hCoV-19/Canada/BC-BCCDC-3363/2020_B.30_2020-08-24	2020-08-24	2020.646175
NODE_0000030	2020-02-09	2020.107701
NODE_0000031	2020-02-09	2020.107701
NODE_0000032	2020-03-04	2020.173060
hCoV-19/Canada/AB-50946/2020_B.31_2020-03-28	2020-03-28	2020.239071
hCoV-19/Canada/ON-PHL-20-80792/2020_B.31_2020-03-15	2020-03-15	2020.203552
NODE_0000033	2020-02-15	2020.125513
NODE_0000034	2020-03-21	2020.219945
hCoV-19/Canada/NS-NML-918/2020_B.61_2020-03-23	2020-03-23	2020.225410
hCoV-19/Canada/NS-NML-900/2020_B.61_2020-03-21	2020-03-21	2020.219945
NODE_0000035	2020-02-21	2020.140092
NODE_0000036	2020-02-21	2020.140092
hCoV-19/Canada/AB-26347/2020_B.40_2020-03-01	2020-03-01	2020.165301
hCoV-19/Canada/ON-PHL-20-90246/2020_B.40_2020-03-13	2020-03-13	2020.198087
NODE_0000037	2020-03-03	2020.172003
hCoV-19/Canada/Qc-LSPQ-L00242370/2020_B.40_2020-03-29	2020-03-29	2020.241803
NODE_0000038	2020-03-05	2020.175145
hCoV-19/Canada/ON-PHL-20-90304/2020_B.40_2020-03-21	2020-03-21	2020.219945
NODE_0000039	2020-04-13	2020.282787
hCoV-19/Canada/QC-1nIOU-97264101_2/2020_B.40_2020-05-26	2020-05-26	2020.400273
hCoV-19/Canada/QC-HMR-96131297/2020_B.40_2020-04-13	2020-04-13	2020.282787
NODE_0000040	2020-02-10	2020.110844
NODE_0000041	2020-02-29	2020.162158
hCoV-19/Canada/ON-PHL-20-90009-v2/2020_B.28_2020-03-01	2020-03-01	2020.165301
NODE_0000042	2020-03-01	2020.165301
hCoV-19/Canada/Qc-LSPQ-L00224868/2020_B.28_2020-03-17	2020-03-17	2020.209016
hCoV-19/Canada/NB-223/2020_B.28_2020-03-26	2020-03-26	2020.233607
NODE_0000043	2020-02-21	2020.140570
hCoV-19/Canada/AB-61307/2020_B.35_2020-03-22	2020-03-22	2020.222678
NODE_0000044	2020-02-22	2020.143712
hCoV-19/Canada/AB-75670/2020_B.32_2020-03-16	2020-03-16	2020.206284
NODE_0000045	2020-02-23	2020.145019
NODE_0000046	2020-02-23	2020.145019
NODE_0000047	2020-02-24	2020.148161
hCoV-19/Canada/ON-PHL-20-80847/2020_B.34_2020-03-22	2020-03-22	2020.222678
hCoV-19/Canada/ON-PHL-20-80236/2020_B.33_2020-03-25	2020-03-25	2020.230874
NODE_0000048	2020-02-23	2020.145019
hCoV-19/Canada/Qc-LSPQ-L00238342/2020_B_2020-03-25	2020-03-25	2020.230874
NODE_0000049	2020-02-23	2020.145019
hCoV-19/Canada/ON-PHL-20-80876/2020_B.33_2020-04-01	2020-04-01	2020.250000
hCoV-19/Canada/ON-PHL-20-01858/2020_B.33_2020-03-20	2020-03-20	2020.217213
NODE_0000050	2020-02-24	2020.148161
hCoV-19/Canada/QC-CHUM-2008002849A/2020_B_2020-03-20	2020-03-20	2020.217213
NODE_0000051	2020-02-24	2020.148161
hCoV-19/Canada/QC-JUS-V6110633/2020_B.33_2020-04-10	2020-04-10	2020.274590
NODE_0000052	2020-03-04	2020.173461
NODE_0000053	2020-04-02	2020.251757
hCoV-19/Canada/ON-PHL-20-01750/2020_B.39_2020-05-01	2020-05-01	2020.331967
NODE_0000054	2020-04-02	2020.252732
hCoV-19/Canada/ON-PHL-20-00180/2020_B.39_2020-04-14	2020-04-14	2020.285519
hCoV-19/Canada/ON-PHL-20-80399/2020_B.39_2020-04-02	2020-04-02	2020.252732
NODE_0000055	2020-03-04	2020.173461
NODE_0000056	2020-03-04	2020.173461
hCoV-19/Canada/NL-NML-1399/2020_B.39_2020-03-24	2020-03-24	2020.228142
hCoV-19/Canada/NB_55/2020_B.39_2020-03-15	2020-03-15	2020.203552
NODE_0000057	2020-03-12	2020.196181
hCoV-19/Canada/QC-1nDJLG-R9060339/2021_B.58_2021-03-06	2021-03-06	2021.176712
NODE_0000058	2020-03-19	2020.215487
hCoV-19/Canada/QC-JUS-V5211010/2020_B.58_2020-03-21	2020-03-21	2020.219945
hCoV-19/Canada/Qc-LSPQ-L00235671/2020_B.58_2020-03-24	2020-03-24	2020.228142
NODE_0000059	2020-01-17	2020.045205
NODE_0000060	2020-03-08	2020.183570
hCoV-19/Canada/AB-38173/2020_A_2020-04-28	2020-04-28	2020.323770
NODE_0000061	2020-03-09	2020.186712
hCoV-19/Canada/AB-25330/2020_A_2020-04-15	2020-04-15	2020.288251
NODE_0000062	2020-03-09	2020.186712
hCoV-19/Canada/AB-95028/2020_A.4_2020-04-04	2020-04-04	2020.258197
NODE_0000063	2020-03-10	2020.189854
NODE_0000064	2020-03-21	2020.221099
hCoV-19/Canada/AB-88086/2020_A_2020-05-18	2020-05-18	2020.378415
NODE_0000065	2020-03-29	2020.242345
hCoV-19/Canada/AB-53944/2020_A_2020-05-06	2020-05-06	2020.345628
NODE_0000066	2020-03-30	2020.245399
