"Date"	"Lineage"	"Frequency"	"% Frequency"
2022-08-08	"BA.2"	5	"4%"
2022-08-08	"BA.2.12.1"	42	"35%"
2022-08-08	"BA.2.3.20"	0	"0%"
2022-08-08	"BA.2.75"	11	"9%"
2022-08-08	"BA.2.75.2"	8	"7%"
2022-08-08	"BN.1"	0	"0%"
2022-08-08	"BN.1.3"	0	"0%"
2022-08-08	"BN.1.3.1"	0	"0%"
2022-08-08	"CH.1.1"	0	"0%"
2022-08-08	"CM.2"	0	"0%"
2022-08-08	"CM.8.1"	0	"0%"
2022-08-08	"other lineages"	53	"45%"
2022-08-08	"XBB.1"	0	"0%"
2022-08-08	"XBB.1.5"	0	"0%"
2022-08-08	"XBB.2"	0	"0%"
2022-08-15	"BA.2"	4	"5%"
2022-08-15	"BA.2.12.1"	18	"23%"
2022-08-15	"BA.2.3.20"	0	"0%"
2022-08-15	"BA.2.75"	15	"19%"
2022-08-15	"BA.2.75.2"	6	"8%"
2022-08-15	"BN.1"	0	"0%"
2022-08-15	"BN.1.3"	0	"0%"
2022-08-15	"BN.1.3.1"	0	"0%"
2022-08-15	"CH.1.1"	0	"0%"
2022-08-15	"CM.2"	0	"0%"
2022-08-15	"CM.8.1"	0	"0%"
2022-08-15	"other lineages"	36	"46%"
2022-08-15	"XBB.1"	0	"0%"
2022-08-15	"XBB.1.5"	0	"0%"
2022-08-15	"XBB.2"	0	"0%"
2022-08-22	"BA.2"	5	"6%"
2022-08-22	"BA.2.12.1"	18	"22%"
2022-08-22	"BA.2.3.20"	0	"0%"
2022-08-22	"BA.2.75"	8	"10%"
2022-08-22	"BA.2.75.2"	8	"10%"
2022-08-22	"BN.1"	0	"0%"
2022-08-22	"BN.1.3"	0	"0%"
2022-08-22	"BN.1.3.1"	0	"0%"
2022-08-22	"CH.1.1"	0	"0%"
2022-08-22	"CM.2"	0	"0%"
2022-08-22	"CM.8.1"	0	"0%"
2022-08-22	"other lineages"	43	"52%"
2022-08-22	"XBB.1"	0	"0%"
2022-08-22	"XBB.1.5"	0	"0%"
2022-08-22	"XBB.2"	0	"0%"
2022-08-29	"BA.2"	3	"5%"
2022-08-29	"BA.2.12.1"	6	"11%"
2022-08-29	"BA.2.3.20"	0	"0%"
2022-08-29	"BA.2.75"	6	"11%"
2022-08-29	"BA.2.75.2"	6	"11%"
2022-08-29	"BN.1"	0	"0%"
2022-08-29	"BN.1.3"	0	"0%"
2022-08-29	"BN.1.3.1"	0	"0%"
2022-08-29	"CH.1.1"	0	"0%"
2022-08-29	"CM.2"	0	"0%"
2022-08-29	"CM.8.1"	0	"0%"
2022-08-29	"other lineages"	34	"62%"
2022-08-29	"XBB.1"	0	"0%"
2022-08-29	"XBB.1.5"	0	"0%"
2022-08-29	"XBB.2"	0	"0%"
2022-09-05	"BA.2"	0	"0%"
2022-09-05	"BA.2.12.1"	3	"7%"
2022-09-05	"BA.2.3.20"	0	"0%"
2022-09-05	"BA.2.75"	4	"9%"
2022-09-05	"BA.2.75.2"	9	"20%"
2022-09-05	"BN.1"	2	"4%"
2022-09-05	"BN.1.3"	0	"0%"
2022-09-05	"BN.1.3.1"	0	"0%"
2022-09-05	"CH.1.1"	0	"0%"
2022-09-05	"CM.2"	0	"0%"
2022-09-05	"CM.8.1"	0	"0%"
2022-09-05	"other lineages"	27	"60%"
2022-09-05	"XBB.1"	0	"0%"
2022-09-05	"XBB.1.5"	0	"0%"
2022-09-05	"XBB.2"	0	"0%"
2022-09-12	"BA.2"	5	"7%"
2022-09-12	"BA.2.12.1"	6	"8%"
2022-09-12	"BA.2.3.20"	3	"4%"
2022-09-12	"BA.2.75"	0	"0%"
2022-09-12	"BA.2.75.2"	22	"30%"
2022-09-12	"BN.1"	0	"0%"
2022-09-12	"BN.1.3"	0	"0%"
2022-09-12	"BN.1.3.1"	0	"0%"
2022-09-12	"CH.1.1"	0	"0%"
2022-09-12	"CM.2"	2	"3%"
2022-09-12	"CM.8.1"	0	"0%"
2022-09-12	"other lineages"	34	"47%"
2022-09-12	"XBB.1"	0	"0%"
2022-09-12	"XBB.1.5"	0	"0%"
2022-09-12	"XBB.2"	1	"1%"
2022-09-19	"BA.2"	3	"5%"
2022-09-19	"BA.2.12.1"	0	"0%"
2022-09-19	"BA.2.3.20"	1	"2%"
2022-09-19	"BA.2.75"	1	"2%"
2022-09-19	"BA.2.75.2"	16	"28%"
2022-09-19	"BN.1"	1	"2%"
2022-09-19	"BN.1.3"	0	"0%"
2022-09-19	"BN.1.3.1"	0	"0%"
2022-09-19	"CH.1.1"	0	"0%"
2022-09-19	"CM.2"	0	"0%"
2022-09-19	"CM.8.1"	0	"0%"
2022-09-19	"other lineages"	33	"57%"
2022-09-19	"XBB.1"	3	"5%"
2022-09-19	"XBB.1.5"	0	"0%"
2022-09-19	"XBB.2"	0	"0%"
2022-09-26	"BA.2"	0	"0%"
2022-09-26	"BA.2.12.1"	1	"2%"
2022-09-26	"BA.2.3.20"	4	"8%"
2022-09-26	"BA.2.75"	0	"0%"
2022-09-26	"BA.2.75.2"	9	"18%"
2022-09-26	"BN.1"	1	"2%"
2022-09-26	"BN.1.3"	1	"2%"
2022-09-26	"BN.1.3.1"	0	"0%"
2022-09-26	"CH.1.1"	0	"0%"
2022-09-26	"CM.2"	5	"10%"
2022-09-26	"CM.8.1"	0	"0%"
2022-09-26	"other lineages"	28	"57%"
2022-09-26	"XBB.1"	0	"0%"
2022-09-26	"XBB.1.5"	0	"0%"
2022-09-26	"XBB.2"	0	"0%"
2022-10-03	"BA.2"	4	"7%"
2022-10-03	"BA.2.12.1"	1	"2%"
2022-10-03	"BA.2.3.20"	5	"9%"
2022-10-03	"BA.2.75"	0	"0%"
2022-10-03	"BA.2.75.2"	7	"12%"
2022-10-03	"BN.1"	0	"0%"
2022-10-03	"BN.1.3"	3	"5%"
2022-10-03	"BN.1.3.1"	0	"0%"
2022-10-03	"CH.1.1"	0	"0%"
2022-10-03	"CM.2"	7	"12%"
2022-10-03	"CM.8.1"	0	"0%"
2022-10-03	"other lineages"	27	"48%"
2022-10-03	"XBB.1"	0	"0%"
2022-10-03	"XBB.1.5"	0	"0%"
2022-10-03	"XBB.2"	2	"4%"
2022-10-10	"BA.2"	3	"4%"
2022-10-10	"BA.2.12.1"	2	"3%"
2022-10-10	"BA.2.3.20"	4	"6%"
2022-10-10	"BA.2.75"	1	"1%"
2022-10-10	"BA.2.75.2"	6	"9%"
2022-10-10	"BN.1"	2	"3%"
2022-10-10	"BN.1.3"	3	"4%"
2022-10-10	"BN.1.3.1"	0	"0%"
2022-10-10	"CH.1.1"	0	"0%"
2022-10-10	"CM.2"	5	"7%"
2022-10-10	"CM.8.1"	0	"0%"
2022-10-10	"other lineages"	39	"58%"
2022-10-10	"XBB.1"	2	"3%"
2022-10-10	"XBB.1.5"	0	"0%"
2022-10-10	"XBB.2"	0	"0%"
2022-10-17	"BA.2"	2	"3%"
2022-10-17	"BA.2.12.1"	0	"0%"
2022-10-17	"BA.2.3.20"	4	"6%"
2022-10-17	"BA.2.75"	0	"0%"
2022-10-17	"BA.2.75.2"	10	"15%"
2022-10-17	"BN.1"	1	"1%"
2022-10-17	"BN.1.3"	5	"7%"
2022-10-17	"BN.1.3.1"	0	"0%"
2022-10-17	"CH.1.1"	1	"1%"
2022-10-17	"CM.2"	3	"4%"
2022-10-17	"CM.8.1"	0	"0%"
2022-10-17	"other lineages"	37	"55%"
2022-10-17	"XBB.1"	3	"4%"
2022-10-17	"XBB.1.5"	0	"0%"
2022-10-17	"XBB.2"	1	"1%"
2022-10-24	"BA.2"	0	"0%"
2022-10-24	"BA.2.12.1"	2	"2%"
2022-10-24	"BA.2.3.20"	2	"2%"
2022-10-24	"BA.2.75"	0	"0%"
2022-10-24	"BA.2.75.2"	44	"35%"
2022-10-24	"BN.1"	2	"2%"
2022-10-24	"BN.1.3"	1	"1%"
2022-10-24	"BN.1.3.1"	3	"2%"
2022-10-24	"CH.1.1"	0	"0%"
2022-10-24	"CM.2"	5	"4%"
2022-10-24	"CM.8.1"	0	"0%"
2022-10-24	"other lineages"	58	"46%"
2022-10-24	"XBB.1"	7	"6%"
2022-10-24	"XBB.1.5"	0	"0%"
2022-10-24	"XBB.2"	3	"2%"
2022-10-31	"BA.2"	0	"0%"
2022-10-31	"BA.2.12.1"	0	"0%"
2022-10-31	"BA.2.3.20"	5	"6%"
2022-10-31	"BA.2.75"	0	"0%"
2022-10-31	"BA.2.75.2"	15	"17%"
2022-10-31	"BN.1"	3	"3%"
2022-10-31	"BN.1.3"	3	"3%"
2022-10-31	"BN.1.3.1"	0	"0%"
2022-10-31	"CH.1.1"	1	"1%"
2022-10-31	"CM.2"	8	"9%"
2022-10-31	"CM.8.1"	0	"0%"
2022-10-31	"other lineages"	46	"51%"
2022-10-31	"XBB.1"	9	"10%"
2022-10-31	"XBB.1.5"	0	"0%"
2022-10-31	"XBB.2"	0	"0%"
2022-11-07	"BA.2"	4	"5%"
2022-11-07	"BA.2.12.1"	0	"0%"
2022-11-07	"BA.2.3.20"	3	"3%"
2022-11-07	"BA.2.75"	0	"0%"
2022-11-07	"BA.2.75.2"	23	"26%"
2022-11-07	"BN.1"	1	"1%"
2022-11-07	"BN.1.3"	3	"3%"
2022-11-07	"BN.1.3.1"	3	"3%"
2022-11-07	"CH.1.1"	0	"0%"
2022-11-07	"CM.2"	10	"11%"
2022-11-07	"CM.8.1"	0	"0%"
2022-11-07	"other lineages"	37	"42%"
2022-11-07	"XBB.1"	1	"1%"
2022-11-07	"XBB.1.5"	0	"0%"
2022-11-07	"XBB.2"	3	"3%"
2022-11-14	"BA.2"	5	"4%"
2022-11-14	"BA.2.12.1"	0	"0%"
2022-11-14	"BA.2.3.20"	7	"6%"
2022-11-14	"BA.2.75"	0	"0%"
