"Date"	"Lineage"	"Frequency"	"% Frequency"
2022-05-02	"BA.5.1"	1	"50%"
2022-05-02	"BA.5.1.1"	1	"50%"
2022-05-02	"BA.5.1.10"	0	"0%"
2022-05-02	"BA.5.1.12"	0	"0%"
2022-05-02	"BA.5.1.15"	0	"0%"
2022-05-02	"BA.5.1.2"	0	"0%"
2022-05-02	"BA.5.1.22"	0	"0%"
2022-05-02	"BA.5.1.23"	0	"0%"
2022-05-02	"BA.5.1.24"	0	"0%"
2022-05-02	"BA.5.1.25"	0	"0%"
2022-05-02	"BA.5.1.3"	0	"0%"
2022-05-02	"BA.5.1.5"	0	"0%"
2022-05-02	"BA.5.1.6"	0	"0%"
2022-05-02	"BA.5.1.7"	0	"0%"
2022-05-02	"BK.1"	0	"0%"
2022-05-02	"other lineages"	0	"0%"
2022-05-09	"BA.5.1"	3	"50%"
2022-05-09	"BA.5.1.1"	0	"0%"
2022-05-09	"BA.5.1.10"	0	"0%"
2022-05-09	"BA.5.1.12"	0	"0%"
2022-05-09	"BA.5.1.15"	0	"0%"
2022-05-09	"BA.5.1.2"	1	"17%"
2022-05-09	"BA.5.1.22"	0	"0%"
2022-05-09	"BA.5.1.23"	1	"17%"
2022-05-09	"BA.5.1.24"	0	"0%"
2022-05-09	"BA.5.1.25"	0	"0%"
2022-05-09	"BA.5.1.3"	0	"0%"
2022-05-09	"BA.5.1.5"	0	"0%"
2022-05-09	"BA.5.1.6"	0	"0%"
2022-05-09	"BA.5.1.7"	1	"17%"
2022-05-09	"BK.1"	0	"0%"
2022-05-09	"other lineages"	0	"0%"
2022-05-16	"BA.5.1"	17	"61%"
2022-05-16	"BA.5.1.1"	4	"14%"
2022-05-16	"BA.5.1.10"	0	"0%"
2022-05-16	"BA.5.1.12"	0	"0%"
2022-05-16	"BA.5.1.15"	0	"0%"
2022-05-16	"BA.5.1.2"	0	"0%"
2022-05-16	"BA.5.1.22"	0	"0%"
2022-05-16	"BA.5.1.23"	0	"0%"
2022-05-16	"BA.5.1.24"	0	"0%"
2022-05-16	"BA.5.1.25"	0	"0%"
2022-05-16	"BA.5.1.3"	0	"0%"
2022-05-16	"BA.5.1.5"	0	"0%"
2022-05-16	"BA.5.1.6"	0	"0%"
2022-05-16	"BA.5.1.7"	7	"25%"
2022-05-16	"BK.1"	0	"0%"
2022-05-16	"other lineages"	0	"0%"
2022-05-23	"BA.5.1"	25	"57%"
2022-05-23	"BA.5.1.1"	16	"36%"
2022-05-23	"BA.5.1.10"	0	"0%"
2022-05-23	"BA.5.1.12"	0	"0%"
2022-05-23	"BA.5.1.15"	0	"0%"
2022-05-23	"BA.5.1.2"	0	"0%"
2022-05-23	"BA.5.1.22"	2	"5%"
2022-05-23	"BA.5.1.23"	0	"0%"
2022-05-23	"BA.5.1.24"	0	"0%"
2022-05-23	"BA.5.1.25"	1	"2%"
2022-05-23	"BA.5.1.3"	0	"0%"
2022-05-23	"BA.5.1.5"	0	"0%"
2022-05-23	"BA.5.1.6"	0	"0%"
2022-05-23	"BA.5.1.7"	0	"0%"
2022-05-23	"BK.1"	0	"0%"
2022-05-23	"other lineages"	0	"0%"
2022-05-30	"BA.5.1"	72	"63%"
2022-05-30	"BA.5.1.1"	23	"20%"
2022-05-30	"BA.5.1.10"	1	"1%"
2022-05-30	"BA.5.1.12"	0	"0%"
2022-05-30	"BA.5.1.15"	0	"0%"
2022-05-30	"BA.5.1.2"	1	"1%"
2022-05-30	"BA.5.1.22"	6	"5%"
2022-05-30	"BA.5.1.23"	2	"2%"
2022-05-30	"BA.5.1.24"	1	"1%"
2022-05-30	"BA.5.1.25"	1	"1%"
2022-05-30	"BA.5.1.3"	3	"3%"
2022-05-30	"BA.5.1.5"	0	"0%"
2022-05-30	"BA.5.1.6"	0	"0%"
2022-05-30	"BA.5.1.7"	4	"4%"
2022-05-30	"BK.1"	0	"0%"
2022-05-30	"other lineages"	0	"0%"
2022-06-06	"BA.5.1"	115	"63%"
2022-06-06	"BA.5.1.1"	27	"15%"
2022-06-06	"BA.5.1.10"	3	"2%"
2022-06-06	"BA.5.1.12"	0	"0%"
2022-06-06	"BA.5.1.15"	0	"0%"
2022-06-06	"BA.5.1.2"	1	"1%"
2022-06-06	"BA.5.1.22"	5	"3%"
2022-06-06	"BA.5.1.23"	5	"3%"
2022-06-06	"BA.5.1.24"	2	"1%"
2022-06-06	"BA.5.1.25"	1	"1%"
2022-06-06	"BA.5.1.3"	0	"0%"
2022-06-06	"BA.5.1.5"	0	"0%"
2022-06-06	"BA.5.1.6"	0	"0%"
2022-06-06	"BA.5.1.7"	20	"11%"
2022-06-06	"BK.1"	0	"0%"
2022-06-06	"other lineages"	4	"2%"
2022-06-13	"BA.5.1"	172	"65%"
2022-06-13	"BA.5.1.1"	31	"12%"
2022-06-13	"BA.5.1.10"	0	"0%"
2022-06-13	"BA.5.1.12"	0	"0%"
2022-06-13	"BA.5.1.15"	5	"2%"
2022-06-13	"BA.5.1.2"	2	"1%"
2022-06-13	"BA.5.1.22"	8	"3%"
2022-06-13	"BA.5.1.23"	2	"1%"
2022-06-13	"BA.5.1.24"	2	"1%"
2022-06-13	"BA.5.1.25"	1	"0%"
2022-06-13	"BA.5.1.3"	7	"3%"
2022-06-13	"BA.5.1.5"	0	"0%"
2022-06-13	"BA.5.1.6"	2	"1%"
2022-06-13	"BA.5.1.7"	32	"12%"
2022-06-13	"BK.1"	1	"0%"
2022-06-13	"other lineages"	1	"0%"
2022-06-20	"BA.5.1"	244	"54%"
2022-06-20	"BA.5.1.1"	118	"26%"
2022-06-20	"BA.5.1.10"	6	"1%"
2022-06-20	"BA.5.1.12"	0	"0%"
2022-06-20	"BA.5.1.15"	3	"1%"
2022-06-20	"BA.5.1.2"	6	"1%"
2022-06-20	"BA.5.1.22"	17	"4%"
2022-06-20	"BA.5.1.23"	4	"1%"
2022-06-20	"BA.5.1.24"	6	"1%"
2022-06-20	"BA.5.1.25"	6	"1%"
2022-06-20	"BA.5.1.3"	4	"1%"
2022-06-20	"BA.5.1.5"	0	"0%"
2022-06-20	"BA.5.1.6"	4	"1%"
2022-06-20	"BA.5.1.7"	25	"6%"
2022-06-20	"BK.1"	4	"1%"
2022-06-20	"other lineages"	7	"2%"
2022-06-27	"BA.5.1"	298	"57%"
2022-06-27	"BA.5.1.1"	83	"16%"
2022-06-27	"BA.5.1.10"	6	"1%"
2022-06-27	"BA.5.1.12"	0	"0%"
2022-06-27	"BA.5.1.15"	7	"1%"
2022-06-27	"BA.5.1.2"	7	"1%"
2022-06-27	"BA.5.1.22"	32	"6%"
2022-06-27	"BA.5.1.23"	25	"5%"
2022-06-27	"BA.5.1.24"	7	"1%"
2022-06-27	"BA.5.1.25"	9	"2%"
2022-06-27	"BA.5.1.3"	5	"1%"
2022-06-27	"BA.5.1.5"	2	"0%"
2022-06-27	"BA.5.1.6"	3	"1%"
2022-06-27	"BA.5.1.7"	30	"6%"
2022-06-27	"BK.1"	2	"0%"
2022-06-27	"other lineages"	10	"2%"
2022-07-04	"BA.5.1"	468	"58%"
2022-07-04	"BA.5.1.1"	112	"14%"
2022-07-04	"BA.5.1.10"	8	"1%"
2022-07-04	"BA.5.1.12"	1	"0%"
2022-07-04	"BA.5.1.15"	11	"1%"
2022-07-04	"BA.5.1.2"	17	"2%"
2022-07-04	"BA.5.1.22"	35	"4%"
2022-07-04	"BA.5.1.23"	35	"4%"
2022-07-04	"BA.5.1.24"	11	"1%"
2022-07-04	"BA.5.1.25"	16	"2%"
2022-07-04	"BA.5.1.3"	12	"1%"
2022-07-04	"BA.5.1.5"	3	"0%"
2022-07-04	"BA.5.1.6"	3	"0%"
2022-07-04	"BA.5.1.7"	64	"8%"
2022-07-04	"BK.1"	11	"1%"
2022-07-04	"other lineages"	5	"1%"
2022-07-11	"BA.5.1"	562	"58%"
2022-07-11	"BA.5.1.1"	119	"12%"
2022-07-11	"BA.5.1.10"	14	"1%"
2022-07-11	"BA.5.1.12"	4	"0%"
2022-07-11	"BA.5.1.15"	14	"1%"
