"Date"	"Lineage"	"Frequency"	"% Frequency"
2022-05-02	"BA.5"	0	"0%"
2022-05-02	"BA.5.10"	0	"0%"
2022-05-02	"BA.5.3.1"	0	"0%"
2022-05-02	"BA.5.5"	0	"0%"
2022-05-02	"BA.5.6"	0	"0%"
2022-05-02	"BA.5.8"	0	"0%"
2022-05-02	"BA.5.9"	0	"0%"
2022-05-02	"BE.1"	0	"0%"
2022-05-02	"BE.1.1"	1	"100%"
2022-05-02	"BE.1.2.1"	0	"0%"
2022-05-02	"BE.1.4"	0	"0%"
2022-05-02	"BE.3"	0	"0%"
2022-05-02	"BE.4"	0	"0%"
2022-05-02	"BE.5"	0	"0%"
2022-05-02	"BW.1.1"	0	"0%"
2022-05-02	"other lineages"	0	"0%"
2022-05-09	"BA.5"	0	"0%"
2022-05-09	"BA.5.10"	1	"20%"
2022-05-09	"BA.5.3.1"	1	"20%"
2022-05-09	"BA.5.5"	0	"0%"
2022-05-09	"BA.5.6"	1	"20%"
2022-05-09	"BA.5.8"	0	"0%"
2022-05-09	"BA.5.9"	0	"0%"
2022-05-09	"BE.1"	0	"0%"
2022-05-09	"BE.1.1"	0	"0%"
2022-05-09	"BE.1.2.1"	0	"0%"
2022-05-09	"BE.1.4"	0	"0%"
2022-05-09	"BE.3"	0	"0%"
2022-05-09	"BE.4"	0	"0%"
2022-05-09	"BE.5"	2	"40%"
2022-05-09	"BW.1.1"	0	"0%"
2022-05-09	"other lineages"	0	"0%"
2022-05-16	"BA.5"	0	"0%"
2022-05-16	"BA.5.10"	0	"0%"
2022-05-16	"BA.5.3.1"	2	"17%"
2022-05-16	"BA.5.5"	4	"33%"
2022-05-16	"BA.5.6"	1	"8%"
2022-05-16	"BA.5.8"	0	"0%"
2022-05-16	"BA.5.9"	0	"0%"
2022-05-16	"BE.1"	0	"0%"
2022-05-16	"BE.1.1"	0	"0%"
2022-05-16	"BE.1.2.1"	0	"0%"
2022-05-16	"BE.1.4"	0	"0%"
2022-05-16	"BE.3"	0	"0%"
2022-05-16	"BE.4"	0	"0%"
2022-05-16	"BE.5"	5	"42%"
2022-05-16	"BW.1.1"	0	"0%"
2022-05-16	"other lineages"	0	"0%"
2022-05-23	"BA.5"	2	"8%"
2022-05-23	"BA.5.10"	0	"0%"
2022-05-23	"BA.5.3.1"	1	"4%"
2022-05-23	"BA.5.5"	11	"46%"
2022-05-23	"BA.5.6"	0	"0%"
2022-05-23	"BA.5.8"	2	"8%"
2022-05-23	"BA.5.9"	0	"0%"
2022-05-23	"BE.1"	2	"8%"
2022-05-23	"BE.1.1"	1	"4%"
2022-05-23	"BE.1.2.1"	0	"0%"
2022-05-23	"BE.1.4"	0	"0%"
2022-05-23	"BE.3"	0	"0%"
2022-05-23	"BE.4"	0	"0%"
2022-05-23	"BE.5"	3	"12%"
2022-05-23	"BW.1.1"	0	"0%"
2022-05-23	"other lineages"	2	"8%"
2022-05-30	"BA.5"	4	"6%"
2022-05-30	"BA.5.10"	0	"0%"
2022-05-30	"BA.5.3.1"	3	"5%"
2022-05-30	"BA.5.5"	19	"30%"
2022-05-30	"BA.5.6"	13	"21%"
2022-05-30	"BA.5.8"	2	"3%"
2022-05-30	"BA.5.9"	0	"0%"
2022-05-30	"BE.1"	7	"11%"
2022-05-30	"BE.1.1"	6	"10%"
2022-05-30	"BE.1.2.1"	0	"0%"
2022-05-30	"BE.1.4"	0	"0%"
2022-05-30	"BE.3"	2	"3%"
2022-05-30	"BE.4"	0	"0%"
2022-05-30	"BE.5"	5	"8%"
2022-05-30	"BW.1.1"	0	"0%"
2022-05-30	"other lineages"	2	"3%"
2022-06-06	"BA.5"	16	"15%"
2022-06-06	"BA.5.10"	0	"0%"
2022-06-06	"BA.5.3.1"	4	"4%"
2022-06-06	"BA.5.5"	34	"31%"
2022-06-06	"BA.5.6"	11	"10%"
2022-06-06	"BA.5.8"	10	"9%"
2022-06-06	"BA.5.9"	0	"0%"
2022-06-06	"BE.1"	11	"10%"
2022-06-06	"BE.1.1"	8	"7%"
2022-06-06	"BE.1.2.1"	0	"0%"
2022-06-06	"BE.1.4"	0	"0%"
2022-06-06	"BE.3"	4	"4%"
2022-06-06	"BE.4"	0	"0%"
2022-06-06	"BE.5"	7	"6%"
2022-06-06	"BW.1.1"	0	"0%"
2022-06-06	"other lineages"	5	"5%"
2022-06-13	"BA.5"	10	"6%"
2022-06-13	"BA.5.10"	0	"0%"
2022-06-13	"BA.5.3.1"	5	"3%"
2022-06-13	"BA.5.5"	52	"33%"
2022-06-13	"BA.5.6"	36	"23%"
2022-06-13	"BA.5.8"	9	"6%"
2022-06-13	"BA.5.9"	0	"0%"
2022-06-13	"BE.1"	16	"10%"
2022-06-13	"BE.1.1"	11	"7%"
2022-06-13	"BE.1.2.1"	0	"0%"
2022-06-13	"BE.1.4"	0	"0%"
2022-06-13	"BE.3"	10	"6%"
2022-06-13	"BE.4"	1	"1%"
2022-06-13	"BE.5"	1	"1%"
2022-06-13	"BW.1.1"	0	"0%"
2022-06-13	"other lineages"	6	"4%"
2022-06-20	"BA.5"	10	"3%"
2022-06-20	"BA.5.10"	0	"0%"
2022-06-20	"BA.5.3.1"	12	"4%"
2022-06-20	"BA.5.5"	103	"31%"
2022-06-20	"BA.5.6"	55	"16%"
2022-06-20	"BA.5.8"	7	"2%"
2022-06-20	"BA.5.9"	0	"0%"
2022-06-20	"BE.1"	52	"15%"
2022-06-20	"BE.1.1"	30	"9%"
2022-06-20	"BE.1.2.1"	0	"0%"
2022-06-20	"BE.1.4"	0	"0%"
2022-06-20	"BE.3"	7	"2%"
2022-06-20	"BE.4"	41	"12%"
2022-06-20	"BE.5"	10	"3%"
2022-06-20	"BW.1.1"	0	"0%"
2022-06-20	"other lineages"	9	"3%"
2022-06-27	"BA.5"	35	"7%"
2022-06-27	"BA.5.10"	2	"0%"
2022-06-27	"BA.5.3.1"	14	"3%"
