"lineage"	"sel_coeff"	"low_CI"	"high_CI"	"size"	"region"
"FL*"	0.13605365	-0.0461	0.3182	11	"Manitoba"
"XBB.1.9*"	0.13605365	-0.0461	0.3182	11	"Manitoba"
"EG.1.5"	0.13167485	0.06446	0.19889	21	"Ontario"
"XBB.1.5.89"	0.1081273	0.04944	0.16681	13	"Alberta"
"FL.1.5.1"	0.10760208	0.07743	0.13777	27	"Quebec"
"HN*"	0.10760208	0.07743	0.13777	27	"Quebec"
"GJ.1.2"	0.0950053	0.05883	0.13118	16	"Alberta"
"GJ.1*"	0.0950053	0.05883	0.13118	16	"Alberta"
"FU.2.1"	0.0921077	0.01452	0.16969	13	"British Columbia"
"EG.5*"	0.09205609	0.05966	0.12445	48	"Nova Scotia"
"EG.5.1*"	0.0899232	0.04619	0.13366	44	"Nova Scotia"
"FL.10.1"	0.08850487	0.06952	0.10749	37	"Canada"
"XBB.1.16.6"	0.08771442	0.06246	0.11297	20	"Ontario"
"FU.1"	0.08747033	0.04925	0.12569	12	"Alberta"
"EG.5.1"	0.08684219	0.06984	0.10384	53	"Ontario"
"EG.5.1.1"	0.08649185	0.03764	0.13534	28	"Nova Scotia"
"HK*"	0.08649185	0.03764	0.13534	28	"Nova Scotia"
"GF*"	0.086018	0.05543	0.11661	16	"Alberta"
"EG*"	0.08203326	0.05931	0.10476	80	"Nova Scotia"
"EG.5.1*"	0.08115081	0.07082	0.09148	172	"Ontario"
"GN.2"	0.08105587	0.05618	0.10594	17	"Ontario"
"EG.5.1.4"	0.0803895	0.06055	0.10022	23	"Canada"
"EG.5.1*"	0.07954219	0.07335	0.08574	455	"Canada"
"FU.2*"	0.07901004	0.05108	0.10694	21	"British Columbia"
"EG.6.1"	0.0787986	0.0482	0.1094	21	"Nova Scotia"
"GJ.1*"	0.07774364	0.05821	0.09728	35	"Quebec"
"FY.5"	0.07743451	0.04911	0.10576	49	"Ontario"
"HK*"	0.0764734	0.06958	0.08337	283	"Canada"
"EG.5.1.1"	0.07629384	0.0694	0.08319	281	"Canada"
"EG.5*"	0.07607605	0.03116	0.121	20	"Newfoundland and Labrador"
"EG.5.1*"	0.07607605	0.03116	0.121	20	"Newfoundland and Labrador"
"XBB.1.16.6"	0.07596394	0.04528	0.10665	22	"Nova Scotia"
"GJ.1.2"	0.07570808	0.05578	0.09563	31	"Quebec"
