"Date"	"Lineage"	"Frequency"	"% Frequency"
2023-06-19	"DV.7.1"	0	"0%"
2023-06-19	"EG.1"	13	"2%"
2023-06-19	"EG.5.1"	1	"0%"
2023-06-19	"EG.5.1.1"	7	"1%"
2023-06-19	"EG.5.1.3"	0	"0%"
2023-06-19	"EG.5.1.4"	0	"0%"
2023-06-19	"EG.5.1.6"	0	"0%"
2023-06-19	"EG.5.2"	4	"1%"
2023-06-19	"EG.6.1"	4	"1%"
2023-06-19	"EG.7"	2	"0%"
2023-06-19	"FD.1.1"	56	"8%"
2023-06-19	"FK.1.1"	3	"0%"
2023-06-19	"FL.1.5"	1	"0%"
2023-06-19	"FL.1.5.1"	2	"0%"
2023-06-19	"FL.10.1"	0	"0%"
2023-06-19	"FL.15"	11	"2%"
2023-06-19	"FL.20"	0	"0%"
2023-06-19	"FL.4"	31	"5%"
2023-06-19	"FU.1"	4	"1%"
2023-06-19	"FU.2.1"	7	"1%"
2023-06-19	"FY.5"	1	"0%"
2023-06-19	"GE.1"	8	"1%"
2023-06-19	"GJ.1.2"	10	"1%"
2023-06-19	"GK.1.1"	0	"0%"
2023-06-19	"GK.2"	2	"0%"
2023-06-19	"GK.3.1"	0	"0%"
2023-06-19	"GW.1"	8	"1%"
2023-06-19	"HF.1"	4	"1%"
2023-06-19	"HK.3"	0	"0%"
2023-06-19	"HR.1"	0	"0%"
2023-06-19	"HV.1"	0	"0%"
2023-06-19	"other lineages"	236	"35%"
2023-06-19	"XBB.1.16"	71	"10%"
2023-06-19	"XBB.1.16.1"	15	"2%"
2023-06-19	"XBB.1.16.11"	0	"0%"
2023-06-19	"XBB.1.16.15"	0	"0%"
2023-06-19	"XBB.1.16.6"	3	"0%"
2023-06-19	"XBB.1.16.8"	0	"0%"
2023-06-19	"XBB.1.16.9"	2	"0%"
2023-06-19	"XBB.1.42.2"	5	"1%"
2023-06-19	"XBB.1.5"	80	"12%"
2023-06-19	"XBB.1.5.10"	9	"1%"
2023-06-19	"XBB.1.5.44"	8	"1%"
2023-06-19	"XBB.1.5.49"	14	"2%"
2023-06-19	"XBB.1.5.72"	8	"1%"
2023-06-19	"XBB.1.9.1"	13	"2%"
2023-06-19	"XBB.1.9.2"	7	"1%"
2023-06-19	"XBB.2.3"	14	"2%"
2023-06-19	"XBB.2.3.11"	13	"2%"
2023-06-19	"XBB.2.3.2"	4	"1%"
2023-06-26	"DV.7.1"	1	"0%"
2023-06-26	"EG.1"	2	"0%"
2023-06-26	"EG.5.1"	8	"1%"
2023-06-26	"EG.5.1.1"	30	"6%"
2023-06-26	"EG.5.1.3"	0	"0%"
2023-06-26	"EG.5.1.4"	0	"0%"
2023-06-26	"EG.5.1.6"	0	"0%"
2023-06-26	"EG.5.2"	3	"1%"
2023-06-26	"EG.6.1"	6	"1%"
2023-06-26	"EG.7"	1	"0%"
2023-06-26	"FD.1.1"	29	"5%"
2023-06-26	"FK.1.1"	6	"1%"
2023-06-26	"FL.1.5"	2	"0%"
2023-06-26	"FL.1.5.1"	1	"0%"
2023-06-26	"FL.10.1"	1	"0%"
2023-06-26	"FL.15"	9	"2%"
2023-06-26	"FL.20"	0	"0%"
2023-06-26	"FL.4"	20	"4%"
2023-06-26	"FU.1"	6	"1%"
2023-06-26	"FU.2.1"	4	"1%"
2023-06-26	"FY.5"	2	"0%"
2023-06-26	"GE.1"	4	"1%"
