"lineage"	"sel_coeff"	"low_CI"	"high_CI"	"size"	"region"	"reference"
"JN.2.5"	0.20292478	0.13984	0.26601	33	"British Columbia"	"HV.1*"
"XDP"	0.19362577	0.13341	0.25384	14	"Canada"	"HV.1*"
"JN.1"	0.18080881	0.13865	0.22297	66	"British Columbia"	"HV.1*"
"JN.1.4"	0.12952613	0.06773	0.19132	14	"British Columbia"	"HV.1*"
"JN.1*"	0.11683709	0.09609	0.13758	126	"British Columbia"	"HV.1"
"JN.1.9"	0.11240442	0.07983	0.14497	36	"Ontario"	"HV.1*"
"JN.1.8.1"	0.11137114	0.0839	0.13884	24	"Canada"	"HV.1*"
"JN.1"	0.11033678	0.06661	0.15407	23	"New Brunswick"	"HV.1*"
"JN.1.5"	0.11004441	0.07184	0.14825	12	"Canada"	"HV.1*"
"JN.1.8"	0.1071539	0.06329	0.15102	18	"Ontario"	"HV.1*"
"JN.1.8*"	0.1071539	0.06329	0.15102	18	"Ontario"	"HV.1"
"JN.1"	0.10208521	0.09399	0.11019	694	"Ontario"	"HV.1*"
"JN.1.8*"	0.10182862	0.06971	0.13395	21	"Alberta"	"HV.1"
"JN.1.4"	0.09936296	0.08587	0.11285	192	"Ontario"	"HV.1*"
"JN.1.8.1"	0.09902794	0.06347	0.13458	16	"Alberta"	"HV.1*"
"JN.1.8*"	0.09668943	0.07827	0.11511	48	"Canada"	"HV.1"
"HK.3.7"	0.09641264	0.05449	0.13833	17	"Ontario"	"HV.1*"
"JN.1*"	0.09570424	0.08963	0.10178	1322	"Ontario"	"HV.1"
"JN.1.2"	0.09397336	0.08117	0.10678	192	"Ontario"	"HV.1*"
"JN.1"	0.09196791	0.08764	0.0963	1847	"Canada"	"HV.1*"
"JG.3.2"	0.08995558	0.04689	0.13302	15	"British Columbia"	"HV.1*"
"JN.1*"	0.08551631	0.08207	0.08897	3080	"Canada"	"HV.1"
"HK.13.2"	0.08465754	0.04732	0.122	18	"Ontario"	"HV.1*"
"JN.1*"	0.08366813	0.059	0.10833	56	"New Brunswick"	"HV.1"
"KL.1.1"	0.0815469	0.05774	0.10535	43	"Ontario"	"HV.1*"
"JN.1.4"	0.08118785	0.07456	0.08782	405	"Canada"	"HV.1*"
"JN.1"	0.08109709	0.07435	0.08784	676	"Alberta"	"HV.1*"
"JN.1.9"	0.07979544	0.06219	0.0974	45	"Canada"	"HV.1*"
"JN.1*"	0.07957017	0.07362	0.08552	952	"Alberta"	"HV.1"
"JN.1.2"	0.07845654	0.03903	0.11788	14	"British Columbia"	"HV.1*"
"JN.1.4"	0.07845015	0.04355	0.11335	21	"New Brunswick"	"HV.1*"
"JN.1"	0.0784029	0.06546	0.09135	321	"Quebec"	"HV.1*"
"JN.1.4"	0.07622798	0.06175	0.09071	71	"Alberta"	"HV.1*"
"JN*"	0.07517892	0.07045	0.07991	1613	"Ontario"	"HV.1"
"BA.2.86*"	0.07486102	0.07015	0.07958	1616	"Ontario"	"HV.1"
"HV.1.2"	0.07444423	0.0303	0.11858	11	"Ontario"	"HV.1*"
"JN.1.1"	0.07423369	0.06339	0.08508	141	"Alberta"	"HV.1*"
"JN.1.1"	0.07267118	0.04488	0.10046	25	"British Columbia"	"HV.1*"
"JN.1"	0.07160774	NA	NA	28	"Newfoundland and Labrador"	"HV.1*"
"JN.1.1"	0.07136437	0.06535	0.07738	433	"Canada"	"HV.1*"
"JN.1*"	0.07124977	0.06055	0.08195	499	"Quebec"	"HV.1"
"JN.1.1"	0.07048894	0.05941	0.08157	181	"Ontario"	"HV.1*"
"JN.1.4"	0.06944322	0.05312	0.08577	82	"Quebec"	"HV.1*"
"JG.3.2"	0.06890662	0.05627	0.08155	83	"Alberta"	"HV.1*"
