"lineage"	"sel_coeff"	"low_CI"	"high_CI"	"size"	"region"	"Highlight"	"reference"
"JN.1.8"	0.16889165	NA	NA	11	"New Brunswick"	0	"HV.1*"
"JN.1.7"	0.16683912	NA	NA	22	"New Brunswick"	0	"HV.1*"
"JN.1.7*"	0.16683912	NA	NA	22	"New Brunswick"	0	"HV.1"
"JN.1.22"	0.14993793	0.10105	0.19883	50	"New Brunswick"	0	"HV.1*"
"KP.1"	0.14109006	NA	NA	25	"Ontario"	0	"HV.1*"
"JN.1.8.1"	0.12910166	0.09551	0.16269	51	"Ontario"	0	"HV.1*"
"KP*"	0.1285795	0	0.59772	13	"Newfoundland and Labrador"	0	"HV.1"
"JN.1.11*"	0.1285795	0	0.59772	13	"Newfoundland and Labrador"	0	"HV.1"
"JN.1"	0.124404	0.09082	0.15799	145	"New Brunswick"	0	"HV.1*"
"JN.1.1"	0.12386415	0.06828	0.17945	17	"New Brunswick"	0	"HV.1*"
"JN.1.1*"	0.12386415	0.06828	0.17945	17	"New Brunswick"	0	"HV.1"
"JN.1.8.1"	0.12304559	0.0549	0.19119	22	"Quebec"	0	"HV.1*"
"JN.1.11*"	0.12216424	0.10667	0.13766	388	"Canada"	0	"HV.1"
"JN.1.22"	0.12165781	0.04614	0.19718	51	"Newfoundland and Labrador"	0	"HV.1*"
"JN.1*"	0.12113896	0.09402	0.14825	370	"New Brunswick"	0	"HV.1"
"JN.1.4"	0.1210016	0.0862	0.1558	94	"New Brunswick"	0	"HV.1*"
"JN.1.4*"	0.1210016	0.0862	0.1558	94	"New Brunswick"	0	"HV.1"
"JN.1.7.2"	0.11937751	0.09953	0.13923	96	"Canada"	0	"HV.1*"
"JN.1.22"	0.11877413	0.10162	0.13593	258	"Ontario"	0	"HV.1*"
"JN.1.7*"	0.11822277	0.10507	0.13138	416	"Canada"	0	"HV.1"
"JN.1.8*"	0.1173161	0.05418	0.18045	23	"Quebec"	0	"HV.1"
"JN.1.11.1"	0.11653175	0.00892	0.22414	21	"Nova Scotia"	0	"HV.1*"
