"lineage"	"sel_coeff"	"low_CI"	"high_CI"	"size"	"region"	"Highlight"	"lineType"	"reference"
"NF.1"	0.10341763	0.06908	0.13776	21	"Alberta"	0	"dashed"	"KP.3.1.1"
"NF.1*"	0.10341763	0.06908	0.13776	21	"Alberta"	0	"dashed"	"KP.3*"
"LF.7"	0.08249139	0.05309	0.1119	25	"Quebec"	0	"dashed"	"KP.3.1.1"
"KP.3.3.5"	0.0709398	0.05101	0.09087	27	"Ontario"	0	"dashed"	"KP.3.1.1"
"KP.3.3.5"	0.07069088	0.05442	0.08696	34	"Canada"	0	"dashed"	"KP.3.1.1"
"LP.8.1.1"	0.06972813	0.0573	0.08216	67	"Alberta"	0	"dashed"	"KP.3.1.1"
"NC.1.2"	0.0695679	0.05259	0.08655	30	"Canada"	0	"dashed"	"KP.3.1.1"
"MC.21.1"	0.06454826	0.04138	0.08772	16	"Ontario"	0	"dashed"	"KP.3.1.1"
"XEK.1"	0.06369161	0.04122	0.08617	14	"Canada"	0	"dashed"	"KP.3.1.1"
"NB.1"	0.06329117	0.04341	0.08317	18	"Canada"	0	"dashed"	"KP.3.1.1"
"NB.1*"	0.06237544	0.04327	0.08149	19	"Canada"	0	"dashed"	"KP.3*"
"NC.1.2"	0.06127973	0.04484	0.07772	30	"Ontario"	0	"dashed"	"KP.3.1.1"
"LP.8.1.1"	0.06084212	0.0547	0.06698	303	"Ontario"	0	"dashed"	"KP.3.1.1"
"LP.8.1*"	0.06016071	0.03496	0.08536	31	"Quebec"	0	"dashed"	"KP.3*"
"LP.8*"	0.06016071	0.03496	0.08536	31	"Quebec"	0	"dashed"	"KP.3*"
"NC.1*"	0.0598608	0.04554	0.07418	32	"Canada"	0	"dashed"	"KP.3*"
"LP.8.1.1"	0.05920225	0.0548	0.06361	475	"Canada"	0	"dashed"	"KP.3.1.1"
"MC.1.2"	0.05877782	0	0.26842	15	"Nova Scotia"	0	"dashed"	"KP.3.1.1"
"XEC.2"	0.05871567	0.04695	0.07048	52	"Alberta"	0	"dashed"	"KP.3.1.1"
"LP.8.1*"	0.05803539	0.05106	0.06501	232	"Alberta"	0	"dashed"	"KP.3*"
"LP.8*"	0.05803539	0.05106	0.06501	232	"Alberta"	0	"dashed"	"KP.3*"
"LP*"	0.05645519	0.04966	0.06325	236	"Alberta"	0	"dashed"	"KP.3*"
"LP.8.1.1"	0.05597449	0	0.14908	25	"Quebec"	0	"dashed"	"KP.3.1.1"
"NC.1*"	0.05521021	0.04042	0.07	31	"Ontario"	0	"dashed"	"KP.3*"
"LP*"	0.05464516	0.03623	0.07306	33	"Quebec"	0	"dashed"	"KP.3*"
"MC.21.1"	0.0541388	0.04075	0.06752	31	"Canada"	0	"dashed"	"KP.3.1.1"
"MC.16"	0.05307518	0.02493	0.08122	11	"Newfoundland and Labrador"	0	"dashed"	"KP.3.1.1"
"LP.8.1.1"	0.05262928	0.04301	0.06225	70	"British Columbia"	0	"dashed"	"KP.3.1.1"
"KP.1.1*"	0.05241027	0.03424	0.07058	34	"Quebec"	0	"dashed"	"KP.3*"
"XEC.4"	0.0523995	0.04621	0.05859	160	"Canada"	0	"dashed"	"KP.3.1.1"
"LP.8.1"	0.05203062	0.04485	0.05921	165	"Alberta"	0	"dashed"	"KP.3.1.1"
"LF.7"	0.05163755	0.04165	0.06163	53	"Canada"	0	"dashed"	"KP.3.1.1"
"KP.1.1*"	0.05138581	0.04513	0.05764	245	"Alberta"	0	"dashed"	"KP.3*"
"MC.10*"	0.0506916	0.02592	0.07546	12	"Newfoundland and Labrador"	0	"dashed"	"KP.3*"
"MC.10.2"	0.05059792	0.02511	0.07609	25	"Nova Scotia"	0	"dashed"	"KP.3.1.1"
"XEK.1*"	0.05009199	0.04356	0.05663	128	"Canada"	0	"dashed"	"KP.3*"
"XEC.14"	0.04932839	0.02831	0.07035	16	"Quebec"	0	"dashed"	"KP.3.1.1"
"XEC.2*"	0.04889243	0.04011	0.05767	80	"Alberta"	0	"dashed"	"KP.3*"
"XEK.1.1"	0.0485213	0.04179	0.05525	114	"Canada"	0	"dashed"	"KP.3.1.1"
"XEC.9"	0.04793058	0.01706	0.0788	12	"Quebec"	0	"dashed"	"KP.3.1.1"
"MC.10.1"	0.04792878	0.01584	0.08001	13	"Nova Scotia"	0	"dashed"	"KP.3.1.1"
"XEC.4"	0.04762764	0.04096	0.05429	145	"Ontario"	0	"dashed"	"KP.3.1.1"
"LP.8.1*"	0.04735993	0.0431	0.05162	431	"Ontario"	0	"dashed"	"KP.3*"
"LP.8*"	0.04735993	0.0431	0.05162	431	"Ontario"	0	"dashed"	"KP.3*"
