region,sequences,GISAID,Portal,date
Alberta,1787,0,0,2020-09-01
British Columbia,3296,604,0,2020-09-01
Manitoba,395,15,0,2020-09-01
New Brunswick,51,51,0,2020-09-01
Newfoundland and Labrador,35,19,0,2020-09-01
Nova Scotia,308,8,0,2020-09-01
Ontario,2927,276,0,2020-09-01
Prince Edward Island,22,0,0,2020-09-01
Quebec,2506,725,0,2020-09-01
Saskatchewan,271,0,0,2020-09-01
Canada,11598,1698,0,2020-09-01
Alberta,2419,0,0,2020-10-01
British Columbia,4429,604,0,2020-10-01
Manitoba,513,270,0,2020-10-01
New Brunswick,51,51,0,2020-10-01
Newfoundland and Labrador,35,19,0,2020-10-01
Nova Scotia,514,252,0,2020-10-01
Ontario,3930,1079,0,2020-10-01
Prince Edward Island,22,0,0,2020-10-01
Quebec,2978,725,0,2020-10-01
Saskatchewan,290,0,0,2020-10-01
Canada,15181,3000,0,2020-10-01
Alberta,2571,0,0,2020-11-01
British Columbia,5782,604,0,2020-11-01
Manitoba,686,295,0,2020-11-01
New Brunswick,51,51,0,2020-11-01
Newfoundland and Labrador,65,19,0,2020-11-01
Nova Scotia,514,252,0,2020-11-01
Ontario,5044,1134,0,2020-11-01
Prince Edward Island,26,0,0,2020-11-01
Quebec,3788,725,0,2020-11-01
Saskatchewan,303,0,0,2020-11-01
Canada,18830,3080,0,2020-11-01
Alberta,3371,0,0,2020-12-01
British Columbia,7462,604,0,2020-12-01
Manitoba,1062,295,0,2020-12-01
New Brunswick,51,51,0,2020-12-01
Newfoundland and Labrador,65,19,0,2020-12-01
Nova Scotia,514,252,0,2020-12-01
Ontario,6115,1292,0,2020-12-01
Prince Edward Island,36,0,0,2020-12-01
Quebec,3788,725,0,2020-12-01
Saskatchewan,314,0,0,2020-12-01
Canada,22778,3238,0,2020-12-01
Alberta,3792,1541,0,2021-01-01
British Columbia,8959,924,0,2021-01-01
Manitoba,1062,295,0,2021-01-01
New Brunswick,99,51,0,2021-01-01
Newfoundland and Labrador,86,19,0,2021-01-01
Nova Scotia,514,252,0,2021-01-01
Ontario,7371,2036,0,2021-01-01
