"Date"	"Lineage"	"Frequency"	"% Frequency"
2022-06-27	"BQ.1"	0	"0%"
2022-06-27	"BQ.1.1"	0	"0%"
2022-06-27	"BQ.1.1.1"	0	"0%"
2022-06-27	"BQ.1.1.18"	0	"0%"
2022-06-27	"BQ.1.1.3"	0	"0%"
2022-06-27	"BQ.1.1.4"	0	"0%"
2022-06-27	"BQ.1.1.5"	0	"0%"
2022-06-27	"BQ.1.10.1"	0	"0%"
2022-06-27	"BQ.1.12"	0	"0%"
2022-06-27	"BQ.1.13"	0	"0%"
2022-06-27	"BQ.1.14"	0	"0%"
2022-06-27	"BQ.1.2"	0	"0%"
2022-06-27	"BQ.1.25"	0	"0%"
2022-06-27	"BQ.1.3"	0	"0%"
2022-06-27	"BQ.1.5"	0	"0%"
2022-06-27	"other lineages"	1	"100%"
2022-07-04	"BQ.1"	0	"0%"
2022-07-04	"BQ.1.1"	0	"0%"
2022-07-04	"BQ.1.1.1"	0	"0%"
2022-07-04	"BQ.1.1.18"	0	"0%"
2022-07-04	"BQ.1.1.3"	0	"0%"
2022-07-04	"BQ.1.1.4"	0	"0%"
2022-07-04	"BQ.1.1.5"	0	"0%"
2022-07-04	"BQ.1.10.1"	0	"0%"
2022-07-04	"BQ.1.12"	0	"0%"
2022-07-04	"BQ.1.13"	0	"0%"
2022-07-04	"BQ.1.14"	0	"0%"
2022-07-04	"BQ.1.2"	0	"0%"
2022-07-04	"BQ.1.25"	0	"0%"
2022-07-04	"BQ.1.3"	0	"0%"
2022-07-04	"BQ.1.5"	0	"0%"
2022-07-04	"other lineages"	1	"100%"
2022-07-18	"BQ.1"	0	"0%"
2022-07-18	"BQ.1.1"	0	"0%"
2022-07-18	"BQ.1.1.1"	0	"0%"
2022-07-18	"BQ.1.1.18"	0	"0%"
2022-07-18	"BQ.1.1.3"	0	"0%"
2022-07-18	"BQ.1.1.4"	0	"0%"
2022-07-18	"BQ.1.1.5"	0	"0%"
2022-07-18	"BQ.1.10.1"	0	"0%"
2022-07-18	"BQ.1.12"	0	"0%"
2022-07-18	"BQ.1.13"	0	"0%"
2022-07-18	"BQ.1.14"	0	"0%"
2022-07-18	"BQ.1.2"	0	"0%"
2022-07-18	"BQ.1.25"	0	"0%"
2022-07-18	"BQ.1.3"	0	"0%"
2022-07-18	"BQ.1.5"	0	"0%"
2022-07-18	"other lineages"	2	"100%"
2022-07-25	"BQ.1"	0	"0%"
2022-07-25	"BQ.1.1"	0	"0%"
2022-07-25	"BQ.1.1.1"	0	"0%"
2022-07-25	"BQ.1.1.18"	0	"0%"
2022-07-25	"BQ.1.1.3"	0	"0%"
2022-07-25	"BQ.1.1.4"	0	"0%"
2022-07-25	"BQ.1.1.5"	0	"0%"
2022-07-25	"BQ.1.10.1"	0	"0%"
