"Date"	"Lineage"	"Frequency"	"% Frequency"
2022-03-07	"B"	0	"0%"
2022-03-07	"other lineages"	1	"14%"
2022-03-07	"XAC"	6	"86%"
2022-03-07	"XAE"	0	"0%"
2022-03-07	"XAM"	0	"0%"
2022-03-07	"XAN"	0	"0%"
2022-03-07	"XAQ"	0	"0%"
2022-03-07	"XAS"	0	"0%"
2022-03-07	"XAY"	0	"0%"
2022-03-07	"XAZ"	0	"0%"
2022-03-07	"XBD"	0	"0%"
2022-03-07	"XBF"	0	"0%"
2022-03-07	"XE"	0	"0%"
2022-03-07	"XM"	0	"0%"
2022-03-14	"B"	0	"0%"
2022-03-14	"other lineages"	1	"7%"
2022-03-14	"XAC"	13	"93%"
2022-03-14	"XAE"	0	"0%"
2022-03-14	"XAM"	0	"0%"
2022-03-14	"XAN"	0	"0%"
2022-03-14	"XAQ"	0	"0%"
2022-03-14	"XAS"	0	"0%"
2022-03-14	"XAY"	0	"0%"
2022-03-14	"XAZ"	0	"0%"
2022-03-14	"XBD"	0	"0%"
2022-03-14	"XBF"	0	"0%"
2022-03-14	"XE"	0	"0%"
2022-03-14	"XM"	0	"0%"
2022-03-21	"B"	0	"0%"
2022-03-21	"other lineages"	1	"6%"
2022-03-21	"XAC"	14	"78%"
2022-03-21	"XAE"	1	"6%"
2022-03-21	"XAM"	0	"0%"
2022-03-21	"XAN"	0	"0%"
2022-03-21	"XAQ"	1	"6%"
2022-03-21	"XAS"	0	"0%"
2022-03-21	"XAY"	0	"0%"
2022-03-21	"XAZ"	0	"0%"
2022-03-21	"XBD"	0	"0%"
2022-03-21	"XBF"	0	"0%"
2022-03-21	"XE"	1	"6%"
2022-03-21	"XM"	0	"0%"
2022-03-28	"B"	0	"0%"
2022-03-28	"other lineages"	0	"0%"
2022-03-28	"XAC"	12	"75%"
2022-03-28	"XAE"	2	"12%"
2022-03-28	"XAM"	0	"0%"
2022-03-28	"XAN"	0	"0%"
2022-03-28	"XAQ"	1	"6%"
2022-03-28	"XAS"	0	"0%"
2022-03-28	"XAY"	0	"0%"
2022-03-28	"XAZ"	0	"0%"
2022-03-28	"XBD"	0	"0%"
2022-03-28	"XBF"	0	"0%"
2022-03-28	"XE"	1	"6%"
2022-03-28	"XM"	0	"0%"
2022-04-04	"B"	0	"0%"
2022-04-04	"other lineages"	1	"8%"
2022-04-04	"XAC"	11	"85%"
2022-04-04	"XAE"	0	"0%"
2022-04-04	"XAM"	0	"0%"
2022-04-04	"XAN"	0	"0%"
2022-04-04	"XAQ"	0	"0%"
2022-04-04	"XAS"	0	"0%"
2022-04-04	"XAY"	0	"0%"
2022-04-04	"XAZ"	0	"0%"
2022-04-04	"XBD"	0	"0%"
2022-04-04	"XBF"	0	"0%"
2022-04-04	"XE"	1	"8%"
2022-04-04	"XM"	0	"0%"
2022-04-11	"B"	0	"0%"
2022-04-11	"other lineages"	0	"0%"
2022-04-11	"XAC"	16	"100%"
2022-04-11	"XAE"	0	"0%"
2022-04-11	"XAM"	0	"0%"
2022-04-11	"XAN"	0	"0%"
2022-04-11	"XAQ"	0	"0%"
2022-04-11	"XAS"	0	"0%"
2022-04-11	"XAY"	0	"0%"
2022-04-11	"XAZ"	0	"0%"
2022-04-11	"XBD"	0	"0%"
2022-04-11	"XBF"	0	"0%"
2022-04-11	"XE"	0	"0%"
2022-04-11	"XM"	0	"0%"
2022-04-18	"B"	0	"0%"
2022-04-18	"other lineages"	1	"3%"
2022-04-18	"XAC"	33	"89%"
2022-04-18	"XAE"	1	"3%"
2022-04-18	"XAM"	0	"0%"
2022-04-18	"XAN"	0	"0%"
2022-04-18	"XAQ"	1	"3%"
2022-04-18	"XAS"	0	"0%"
2022-04-18	"XAY"	0	"0%"
2022-04-18	"XAZ"	0	"0%"
2022-04-18	"XBD"	0	"0%"
2022-04-18	"XBF"	0	"0%"
2022-04-18	"XE"	1	"3%"
2022-04-18	"XM"	0	"0%"
2022-04-25	"B"	0	"0%"
2022-04-25	"other lineages"	5	"9%"
2022-04-25	"XAC"	31	"55%"
2022-04-25	"XAE"	0	"0%"
2022-04-25	"XAM"	0	"0%"
2022-04-25	"XAN"	0	"0%"
2022-04-25	"XAQ"	17	"30%"
2022-04-25	"XAS"	0	"0%"
2022-04-25	"XAY"	0	"0%"
2022-04-25	"XAZ"	0	"0%"
2022-04-25	"XBD"	0	"0%"
2022-04-25	"XBF"	0	"0%"
2022-04-25	"XE"	3	"5%"
2022-04-25	"XM"	0	"0%"
2022-05-02	"B"	0	"0%"
2022-05-02	"other lineages"	0	"0%"
2022-05-02	"XAC"	30	"62%"
2022-05-02	"XAE"	0	"0%"
2022-05-02	"XAM"	0	"0%"
2022-05-02	"XAN"	0	"0%"
2022-05-02	"XAQ"	17	"35%"
2022-05-02	"XAS"	0	"0%"
2022-05-02	"XAY"	0	"0%"
2022-05-02	"XAZ"	0	"0%"
2022-05-02	"XBD"	0	"0%"
2022-05-02	"XBF"	0	"0%"
2022-05-02	"XE"	0	"0%"
2022-05-02	"XM"	1	"2%"
2022-05-09	"B"	0	"0%"
2022-05-09	"other lineages"	3	"7%"
2022-05-09	"XAC"	34	"83%"
2022-05-09	"XAE"	0	"0%"
2022-05-09	"XAM"	0	"0%"
2022-05-09	"XAN"	0	"0%"
2022-05-09	"XAQ"	3	"7%"
2022-05-09	"XAS"	0	"0%"
2022-05-09	"XAY"	0	"0%"
2022-05-09	"XAZ"	0	"0%"
2022-05-09	"XBD"	0	"0%"
2022-05-09	"XBF"	0	"0%"
2022-05-09	"XE"	1	"2%"
2022-05-09	"XM"	0	"0%"
2022-05-16	"B"	0	"0%"
