"lineage"	"sel_coeff"	"low_CI"	"high_CI"	"size"	"region"	"Highlight"	"lineType"	"reference"
"NY.1"	0.08665193	0.04748	0.12583	11	"Ontario"	0	"dashed"	"XEC"
"LF.7.7*"	0.08009572	0.06383	0.09636	63	"Ontario"	0	"dashed"	"XEC*"
"LF.7.7.2"	0.0790978	0.06269	0.09551	60	"Ontario"	0	"dashed"	"XEC"
"NY.7"	0.07164761	0.04496	0.09833	17	"Ontario"	0	"dashed"	"XEC"
"PA.1"	0.0611649	0.04456	0.07777	24	"Canada"	0	"dashed"	"XEC"
"LF.7.7.1"	0.06094312	0.03799	0.0839	12	"Canada"	0	"dashed"	"XEC"
"PA.1"	0.05779252	0.02032	0.09526	16	"British Columbia"	0	"dashed"	"XEC"
"PA*"	0.05779252	0.02032	0.09526	16	"British Columbia"	0	"dashed"	"XEC*"
"XEC.1"	0.05686602	0.00821	0.10552	15	"British Columbia"	0	"dashed"	"XEC"
"LP.8.1.1"	0.05653374	0.02727	0.0858	20	"New Brunswick"	0	"dashed"	"XEC"
"NY*"	0.05653374	0.02727	0.0858	20	"New Brunswick"	0	"dashed"	"XEC*"
"LF.7.7*"	0.05459226	0.04729	0.06189	144	"Canada"	0	"dashed"	"XEC*"
"NL.4.1.1"	0.05443981	0.02707	0.08181	11	"Ontario"	0	"dashed"	"XEC"
"LP.8.1.4"	0.05386561	0.03656	0.07117	18	"Canada"	0	"dashed"	"XEC"
"LF.7.7.2"	0.05362179	0.04611	0.06114	132	"Canada"	0	"dashed"	"XEC"
"LF.7.7*"	0.05020572	0.03544	0.06497	67	"Quebec"	0	"dashed"	"XEC*"
"LF.7.7.2"	0.04974427	0.035	0.06449	66	"Quebec"	0	"dashed"	"XEC"
"MC.13.2.1"	0.04600953	0.02061	0.07141	11	"Ontario"	0	"dashed"	"XEC"
"XEC.2.2"	0.04531999	0.03326	0.05738	52	"Ontario"	0	"dashed"	"XEC"
"LF.7.8"	0.0442944	0.02646	0.06213	15	"Canada"	0	"dashed"	"XEC"
"MC.21.1"	0.04406228	0.02969	0.05843	34	"Ontario"	0	"dashed"	"XEC"
"LP.8.1*"	0.04386889	0.02527	0.06247	24	"New Brunswick"	0	"dashed"	"XEC*"
"KP.1.1*"	0.04386889	0.02527	0.06247	24	"New Brunswick"	0	"dashed"	"XEC*"
"LP*"	0.04386889	0.02527	0.06247	24	"New Brunswick"	0	"dashed"	"XEC*"
"LP.8.1.1"	0.04368444	0.03165	0.05571	26	"Alberta"	0	"dashed"	"XEC"
"NY.7"	0.04296325	0.02822	0.0577	22	"Canada"	0	"dashed"	"XEC"
"MC.21*"	0.04290084	0.02905	0.05676	36	"Ontario"	0	"dashed"	"XEC*"
"NL.4.1*"	0.04196057	0.01945	0.06447	13	"Ontario"	0	"dashed"	"XEC*"
"LP.8.1"	0.04184029	0.03328	0.0504	102	"Ontario"	0	"dashed"	"XEC"
"XEC.9"	0.04022371	0	0.11226	24	"Manitoba"	0	"dashed"	"XEC"
"NF.1.3"	0.03859974	0.02869	0.04851	46	"Canada"	0	"dashed"	"XEC"
"XEC.18"	0.03635115	0.01016	0.06255	18	"Newfoundland and Labrador"	0	"dashed"	"XEC"
"LF.7*"	0.0345417	0.02415	0.04493	26	"Alberta"	0	"dashed"	"XEC*"
"LF*"	0.0345417	0.02415	0.04493	26	"Alberta"	0	"dashed"	"XEC*"
"PC*"	0.03410891	0.01047	0.05775	12	"Ontario"	0	"dashed"	"XEC*"
"JN.1.16*"	0.03391112	0.02654	0.04129	63	"Alberta"	0	"dashed"	"XEC*"
"LF.7.8"	0.03384573	0.01031	0.05738	12	"Quebec"	0	"dashed"	"XEC"
"LF.7*"	0.03364185	0.02683	0.04045	141	"Ontario"	0	"dashed"	"XEC*"
"LF*"	0.03364185	0.02683	0.04045	141	"Ontario"	0	"dashed"	"XEC*"
"LP.8.1*"	0.03349563	0.02964	0.03735	677	"Ontario"	0	"dashed"	"XEC*"
"NY*"	0.03339511	0.02923	0.03756	527	"Ontario"	0	"dashed"	"XEC*"
"NF.1*"	0.03253127	0.02341	0.04165	37	"Alberta"	0	"dashed"	"XEC*"
"NF*"	0.03253127	0.02341	0.04165	37	"Alberta"	0	"dashed"	"XEC*"
"NF.1.3"	0.03242412	0.02321	0.04164	36	"Alberta"	0	"dashed"	"XEC"
"MC.31"	0.03233787	0.01185	0.05282	14	"British Columbia"	0	"dashed"	"XEC"
"LP.8.1.1"	0.03172053	0.02747	0.03597	482	"Ontario"	0	"dashed"	"XEC"
"KP.3.3.2"	0.03158223	0.02279	0.04038	80	"Ontario"	0	"dashed"	"XEC"
"LF.7*"	0.03080871	0.02669	0.03493	309	"Canada"	0	"dashed"	"XEC*"
"MC.21.1"	0.03077061	0.02132	0.04023	49	"Canada"	0	"dashed"	"XEC"
"LF*"	0.03069983	0.02659	0.03481	311	"Canada"	0	"dashed"	"XEC*"
"LF.7*"	0.03057633	0.02076	0.04039	102	"Quebec"	0	"dashed"	"XEC*"
"LP.8.1.1"	0.03057168	0.02735	0.03379	610	"Canada"	0	"dashed"	"XEC"
