"Date"	"Lineage"	"Frequency"	"% Frequency"
2023-05-29	"DV.7.1"	0	"0%"
2023-05-29	"EG.1"	20	"2%"
2023-05-29	"EG.1.4"	0	"0%"
2023-05-29	"EG.5.1"	3	"0%"
2023-05-29	"EG.5.1.1"	10	"1%"
2023-05-29	"EG.5.1.3"	0	"0%"
2023-05-29	"EG.5.1.4"	0	"0%"
2023-05-29	"EG.5.1.6"	0	"0%"
2023-05-29	"EG.5.2"	0	"0%"
2023-05-29	"EG.6.1"	5	"0%"
2023-05-29	"EG.7"	3	"0%"
2023-05-29	"FD.1.1"	88	"8%"
2023-05-29	"FE.1.1.1"	9	"1%"
2023-05-29	"FK.1.1"	3	"0%"
2023-05-29	"FL.1.5.1"	1	"0%"
2023-05-29	"FL.10.1"	0	"0%"
2023-05-29	"FL.15"	16	"2%"
2023-05-29	"FL.18"	12	"1%"
2023-05-29	"FL.20"	2	"0%"
2023-05-29	"FL.4"	30	"3%"
2023-05-29	"FL.5"	16	"2%"
2023-05-29	"FU.1"	1	"0%"
2023-05-29	"FU.2.1"	1	"0%"
2023-05-29	"FY.5"	3	"0%"
2023-05-29	"GE.1"	1	"0%"
2023-05-29	"GJ.1.2"	4	"0%"
2023-05-29	"GK.1.1"	0	"0%"
2023-05-29	"GK.2"	0	"0%"
2023-05-29	"GW.1"	0	"0%"
2023-05-29	"HF.1"	0	"0%"
2023-05-29	"HK.3"	0	"0%"
2023-05-29	"HV.1"	0	"0%"
2023-05-29	"other lineages"	387	"36%"
2023-05-29	"XBB.1.16"	144	"14%"
2023-05-29	"XBB.1.16.1"	17	"2%"
2023-05-29	"XBB.1.16.11"	2	"0%"
2023-05-29	"XBB.1.16.2"	8	"1%"
2023-05-29	"XBB.1.16.6"	2	"0%"
2023-05-29	"XBB.1.16.8"	4	"0%"
2023-05-29	"XBB.1.16.9"	2	"0%"
2023-05-29	"XBB.1.5"	176	"17%"
2023-05-29	"XBB.1.5.10"	4	"0%"
2023-05-29	"XBB.1.5.37"	2	"0%"
2023-05-29	"XBB.1.5.49"	17	"2%"
2023-05-29	"XBB.1.5.72"	3	"0%"
2023-05-29	"XBB.1.9.1"	22	"2%"
2023-05-29	"XBB.1.9.2"	25	"2%"
2023-05-29	"XBB.2.3"	11	"1%"
2023-05-29	"XBB.2.3.11"	2	"0%"
2023-05-29	"XBB.2.3.2"	7	"1%"
2023-05-29	"XBB.2.3.8"	1	"0%"
2023-06-05	"DV.7.1"	0	"0%"
2023-06-05	"EG.1"	7	"1%"
2023-06-05	"EG.1.4"	2	"0%"
2023-06-05	"EG.5.1"	1	"0%"
2023-06-05	"EG.5.1.1"	3	"0%"
2023-06-05	"EG.5.1.3"	0	"0%"
2023-06-05	"EG.5.1.4"	0	"0%"
2023-06-05	"EG.5.1.6"	0	"0%"
2023-06-05	"EG.5.2"	1	"0%"
2023-06-05	"EG.6.1"	0	"0%"
2023-06-05	"EG.7"	3	"0%"
2023-06-05	"FD.1.1"	57	"7%"
2023-06-05	"FE.1.1.1"	9	"1%"
2023-06-05	"FK.1.1"	1	"0%"
2023-06-05	"FL.1.5.1"	1	"0%"
2023-06-05	"FL.10.1"	0	"0%"
2023-06-05	"FL.15"	11	"1%"
2023-06-05	"FL.18"	15	"2%"
2023-06-05	"FL.20"	0	"0%"
2023-06-05	"FL.4"	58	"7%"
2023-06-05	"FL.5"	1	"0%"
2023-06-05	"FU.1"	14	"2%"
2023-06-05	"FU.2.1"	3	"0%"
2023-06-05	"FY.5"	0	"0%"
2023-06-05	"GE.1"	2	"0%"
2023-06-05	"GJ.1.2"	5	"1%"
2023-06-05	"GK.1.1"	0	"0%"
2023-06-05	"GK.2"	0	"0%"
2023-06-05	"GW.1"	4	"0%"
2023-06-05	"HF.1"	2	"0%"
2023-06-05	"HK.3"	0	"0%"
2023-06-05	"HV.1"	0	"0%"
2023-06-05	"other lineages"	310	"37%"
2023-06-05	"XBB.1.16"	83	"10%"
2023-06-05	"XBB.1.16.1"	15	"2%"
2023-06-05	"XBB.1.16.11"	1	"0%"
2023-06-05	"XBB.1.16.2"	5	"1%"
2023-06-05	"XBB.1.16.6"	2	"0%"
2023-06-05	"XBB.1.16.8"	1	"0%"
2023-06-05	"XBB.1.16.9"	2	"0%"
2023-06-05	"XBB.1.5"	129	"16%"
2023-06-05	"XBB.1.5.10"	8	"1%"
2023-06-05	"XBB.1.5.37"	3	"0%"
2023-06-05	"XBB.1.5.49"	10	"1%"
2023-06-05	"XBB.1.5.72"	16	"2%"
2023-06-05	"XBB.1.9.1"	25	"3%"
2023-06-05	"XBB.1.9.2"	11	"1%"
2023-06-05	"XBB.2.3"	7	"1%"
2023-06-05	"XBB.2.3.11"	2	"0%"
2023-06-05	"XBB.2.3.2"	1	"0%"
2023-06-05	"XBB.2.3.8"	0	"0%"
2023-06-12	"DV.7.1"	0	"0%"
2023-06-12	"EG.1"	5	"1%"
2023-06-12	"EG.1.4"	2	"0%"
2023-06-12	"EG.5.1"	5	"1%"
2023-06-12	"EG.5.1.1"	12	"2%"
2023-06-12	"EG.5.1.3"	1	"0%"
2023-06-12	"EG.5.1.4"	0	"0%"
2023-06-12	"EG.5.1.6"	0	"0%"
2023-06-12	"EG.5.2"	1	"0%"
2023-06-12	"EG.6.1"	10	"1%"
2023-06-12	"EG.7"	5	"1%"
2023-06-12	"FD.1.1"	50	"7%"
2023-06-12	"FE.1.1.1"	4	"1%"
2023-06-12	"FK.1.1"	5	"1%"
2023-06-12	"FL.1.5.1"	2	"0%"
2023-06-12	"FL.10.1"	1	"0%"
2023-06-12	"FL.15"	4	"1%"
2023-06-12	"FL.18"	6	"1%"
2023-06-12	"FL.20"	0	"0%"
2023-06-12	"FL.4"	27	"4%"
2023-06-12	"FL.5"	0	"0%"
2023-06-12	"FU.1"	9	"1%"
2023-06-12	"FU.2.1"	3	"0%"
2023-06-12	"FY.5"	2	"0%"
2023-06-12	"GE.1"	1	"0%"
2023-06-12	"GJ.1.2"	7	"1%"
2023-06-12	"GK.1.1"	0	"0%"
2023-06-12	"GK.2"	1	"0%"
2023-06-12	"GW.1"	18	"3%"
2023-06-12	"HF.1"	2	"0%"
2023-06-12	"HK.3"	0	"0%"
2023-06-12	"HV.1"	0	"0%"
2023-06-12	"other lineages"	238	"33%"
2023-06-12	"XBB.1.16"	74	"10%"
