date,from_epi_link,from_lab
"2020-02-24",0,0
"2020-02-25",0,1
"2020-02-26",0,0
"2020-02-27",0,0
"2020-02-28",0,1
"2020-02-29",0,0
"2020-03-01",1,0
"2020-03-02",0,3
"2020-03-03",0,2
"2020-03-04",0,2
"2020-03-05",0,1
"2020-03-06",0,2
"2020-03-07",0,0
"2020-03-08",0,1
"2020-03-09",0,1
"2020-03-10",1,1
"2020-03-11",0,10
"2020-03-12",0,6
"2020-03-13",0,4
"2020-03-14",0,19
"2020-03-15",0,13
"2020-03-16",0,17
"2020-03-17",0,44
"2020-03-18",1,40
"2020-03-19",1,73
"2020-03-20",8,122
"2020-03-21",2,184
"2020-03-22",1,237
"2020-03-23",8,338
"2020-03-24",10,258
"2020-03-25",7,362
"2020-03-26",5,361
"2020-03-27",3,449
"2020-03-28",8,410
"2020-03-29",15,554
"2020-03-30",44,537
"2020-03-31",50,682
"2020-04-01",56,646
"2020-04-02",73,803
"2020-04-03",83,693
"2020-04-04",112,695
"2020-04-05",85,551
"2020-04-06",89,793
"2020-04-07",77,714
"2020-04-08",88,602
"2020-04-09",103,647
"2020-04-10",86,553
"2020-04-11",76,588
"2020-04-12",83,712
"2020-04-13",98,867
"2020-04-14",130,830
"2020-04-15",235,868
"2020-04-16",117,849
"2020-04-17",168,858
"2020-04-18",113,550
"2020-04-19",96,726
"2020-04-20",158,752
"2020-04-21",116,689
"2020-04-22",142,747
"2020-04-23",152,754
"2020-04-24",135,727
"2020-04-25",96,663
"2020-04-26",89,527
"2020-04-27",125,787
"2020-04-28",128,792
"2020-04-29",123,778
"2020-04-30",113,890
"2020-05-01",119,936
"2020-05-02",91,807
"2020-05-03",81,718
"2020-05-04",110,754
"2020-05-05",127,766
"2020-05-06",128,903
"2020-05-07",101,751
"2020-05-08",92,689
"2020-05-09",78,680
"2020-05-10",56,598
"2020-05-11",101,627
"2020-05-12",132,664
"2020-05-13",100,684
"2020-05-14",71,631
"2020-05-15",65,724
"2020-05-16",71,624
"2020-05-17",94,643
"2020-05-18",79,590
"2020-05-19",58,579
"2020-05-20",75,728
"2020-05-21",66,654
"2020-05-22",45,559
"2020-05-23",44,461
"2020-05-24",59,487
"2020-05-25",49,467
"2020-05-26",54,395
"2020-05-27",63,458
"2020-05-28",45,371
"2020-05-29",29,398
"2020-05-30",19,379
"2020-05-31",33,258
"2020-06-01",37,291
"2020-06-02",13,217
"2020-06-03",27,247
"2020-06-04",24,231
"2020-06-05",27,222
"2020-06-06",26,221
"2020-06-07",16,172
"2020-06-08",8,109
"2020-06-09",10,153
"2020-06-10",18,154
"2020-06-11",12,140
"2020-06-12",17,159
"2020-06-13",17,107
"2020-06-14",5,89
"2020-06-15",11,99
"2020-06-16",12,121
"2020-06-17",9,112
"2020-06-18",13,122
"2020-06-19",18,115
"2020-06-20",7,91
"2020-06-21",1,77
"2020-06-22",5,79
"2020-06-23",0,92
"2020-06-24",5,85
"2020-06-25",6,83
