EPI	Date	GISAID	Location	lineage
EPI_ISL_402124|China|B	2019-12-30	hCoV-19/Wuhan/WIV04/2019	China	B
EPI_ISL_1001086|Canada|B.1.147	2020-04-23	hCoV-19/Canada/QC-L00253099/2020	Canada	B.1.147
EPI_ISL_1004176|Canada|B.1.258.17	2021-01-20	hCoV-19/Canada/QC-L00320845001/2021	Canada	B.1.258.17
EPI_ISL_10045029|Canada|AY.127	2022-01-06	hCoV-19/Canada/QC-1nIPG-R7060385R2/2022	Canada	AY.127
EPI_ISL_10057689|Canada|AY.74	2021-10-18	hCoV-19/Canada/QC-L00416559001/2021	Canada	AY.74
EPI_ISL_10078095|Canada|BA.1.1	2022-01-28	hCoV-19/Canada/SK-RRPL-343804/2022	Canada	BA.1.1
EPI_ISL_1009132|Canada|B.1.350	2020-05-04	hCoV-19/Canada/QC-L00256641/2020	Canada	B.1.350
EPI_ISL_10149059|Canada|BA.1.1	2021-12-17	hCoV-19/Canada/NL-PHML-344753/2021	Canada	BA.1.1
EPI_ISL_10149066|Canada|BA.1.1	2022-02-05	hCoV-19/Canada/NL-PHML-344761/2022	Canada	BA.1.1
EPI_ISL_10149085|Canada|BA.1.1	2022-02-08	hCoV-19/Canada/NL-PHML-344782/2022	Canada	BA.1.1
EPI_ISL_10149105|Canada|BA.1	2022-02-10	hCoV-19/Canada/NL-PHML-351235/2022	Canada	BA.1
EPI_ISL_10149111|Canada|BA.1.1	2022-02-13	hCoV-19/Canada/NL-PHML-351241/2022	Canada	BA.1.1
EPI_ISL_10149115|Canada|BA.1.1	2022-02-13	hCoV-19/Canada/NL-PHML-351245/2022	Canada	BA.1.1
EPI_ISL_10149116|Canada|BA.1	2022-02-13	hCoV-19/Canada/NL-PHML-351246/2022	Canada	BA.1
EPI_ISL_1015365|Canada|B.1.369	2021-01-02	hCoV-19/Canada/ON-SLB3264/2021	Canada	B.1.369
EPI_ISL_10208180|Canada|BA.1	2022-01-29	hCoV-19/Canada/ON-PHL-22-07700/2022	Canada	BA.1
