strain	Accession_ID	date	division	Pango_lineage	Variant	division2	pango.group	label
Wuhan/WIV04/2019	EPI_ISL_402124	2019-12-30	Hubei_Wuhan	B	other	Hubei_Wuhan	other	Wuhan_WIV04_2019
Canada/AB-ABPHL-44989/2021	EPI_ISL_8844154	2021-12-12	Alberta	BA.1	Omicron BA.1	Alberta	Omicron	Canada_AB-ABPHL-44989_2021
Canada/AB-ABPHL-44990/2021	EPI_ISL_8844155	2021-12-12	Alberta	BA.1	Omicron BA.1	Alberta	Omicron	Canada_AB-ABPHL-44990_2021
Canada/AB-ABPHL-44992/2021	EPI_ISL_8844156	2021-12-12	Alberta	BA.1	Omicron BA.1	Alberta	Omicron	Canada_AB-ABPHL-44992_2021
Canada/AB-ABPHL-45278/2021	EPI_ISL_8844361	2021-12-13	Alberta	BA.1	Omicron BA.1	Alberta	Omicron	Canada_AB-ABPHL-45278_2021
Canada/AB-ABPHL-45286/2021	EPI_ISL_8844369	2021-12-12	Alberta	BA.1	Omicron BA.1	Alberta	Omicron	Canada_AB-ABPHL-45286_2021
Canada/AB-ABPHL-45290/2021	EPI_ISL_8844373	2021-12-13	Alberta	BA.1	Omicron BA.1	Alberta	Omicron	Canada_AB-ABPHL-45290_2021
Canada/AB-ABPHL-45294/2021	EPI_ISL_8844377	2021-12-13	Alberta	BA.1	Omicron BA.1	Alberta	Omicron	Canada_AB-ABPHL-45294_2021
Canada/AB-ABPHL-45297/2021	EPI_ISL_8844380	2021-12-13	Alberta	BA.1	Omicron BA.1	Alberta	Omicron	Canada_AB-ABPHL-45297_2021
Canada/AB-ABPHL-45305/2021	EPI_ISL_8844480	2021-12-13	Alberta	BA.1	Omicron BA.1	Alberta	Omicron	Canada_AB-ABPHL-45305_2021
Canada/AB-ABPHL-45316/2021	EPI_ISL_8844491	2021-12-13	Alberta	BA.1	Omicron BA.1	Alberta	Omicron	Canada_AB-ABPHL-45316_2021
Canada/AB-ABPHL-45400/2021	EPI_ISL_8844522	2021-12-14	Alberta	BA.1	Omicron BA.1	Alberta	Omicron	Canada_AB-ABPHL-45400_2021
Canada/AB-ABPHL-45491/2021	EPI_ISL_8844538	2021-12-14	Alberta	BA.1	Omicron BA.1	Alberta	Omicron	Canada_AB-ABPHL-45491_2021
Canada/AB-ABPHL-45494/2021	EPI_ISL_8844541	2021-12-14	Alberta	BA.1	Omicron BA.1	Alberta	Omicron	Canada_AB-ABPHL-45494_2021
Canada/AB-ABPHL-45501/2021	EPI_ISL_8844548	2021-12-14	Alberta	BA.1	Omicron BA.1	Alberta	Omicron	Canada_AB-ABPHL-45501_2021
Canada/AB-ABPHL-45504/2021	EPI_ISL_8844550	2021-12-14	Alberta	BA.1	Omicron BA.1	Alberta	Omicron	Canada_AB-ABPHL-45504_2021
Canada/AB-ABPHL-45508/2021	EPI_ISL_8844554	2021-12-14	Alberta	BA.1	Omicron BA.1	Alberta	Omicron	Canada_AB-ABPHL-45508_2021
