EPI	Date	GISAID	Location	Variant
EPI_ISL_402124|China|B	2019-12-30	hCoV-19/Wuhan/WIV04/2019	China	B
EPI_ISL_1004176|Canada|B.1.258.17	2021-01-20	hCoV-19/Canada/QC-L00320845001/2021	Canada	B.1.258.17
EPI_ISL_1004177|Canada|B.1.525	2021-01-23	hCoV-19/Canada/QC-L00321034001/2021	Canada	B.1.525
EPI_ISL_1015365|Canada|B.1.369	2021-01-02	hCoV-19/Canada/ON-SLB3264/2021	Canada	B.1.369
EPI_ISL_1015366|Canada|AL.1	2021-01-04	hCoV-19/Canada/ON-SLB3266/2021	Canada	AL.1
EPI_ISL_1055386|Canada|AE.8	2020-10-18	hCoV-19/Canada/NL-NML-2386/2020	Canada	AE.8
EPI_ISL_1055389|Canada|B.1.1	2020-04-10	hCoV-19/Canada/NL-NML-2390/2020	Canada	B.1.1
EPI_ISL_1055390|Canada|B.1	2020-04-06	hCoV-19/Canada/NL-NML-2395/2020	Canada	B.1
EPI_ISL_1055391|Canada|B.1.422	2020-04-03	hCoV-19/Canada/NL-NML-2396/2020	Canada	B.1.422
EPI_ISL_1055392|Canada|B.1.1.1	2020-10-14	hCoV-19/Canada/NL-NML-2397/2020	Canada	B.1.1.1
EPI_ISL_1055394|Canada|B.1.356	2020-04-16	hCoV-19/Canada/NL-NML-2399/2020	Canada	B.1.356
EPI_ISL_1055404|Canada|AE.8	2020-09-26	hCoV-19/Canada/NL-NML-2415/2020	Canada	AE.8
EPI_ISL_1055405|Canada|B.1.567	2020-09-17	hCoV-19/Canada/NL-NML-2416/2020	Canada	B.1.567
EPI_ISL_1055406|Canada|B.1.1	2020-05-17	hCoV-19/Canada/NL-NML-2417/2020	Canada	B.1.1
EPI_ISL_1055407|Canada|B.1.589	2020-07-09	hCoV-19/Canada/NL-NML-2418/2020	Canada	B.1.589
EPI_ISL_1055408|Canada|B.1.441	2020-08-27	hCoV-19/Canada/NL-NML-2419/2020	Canada	B.1.441
EPI_ISL_1055409|Canada|B.1.422	2020-07-24	hCoV-19/Canada/NL-NML-2421/2020	Canada	B.1.422
EPI_ISL_1055411|Canada|C.16	2020-10-08	hCoV-19/Canada/NL-NML-2423/2020	Canada	C.16
